"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.890833272E-4,-1.953587494E0,5.944438477E0,8.053552551E0,1.019865489E1
1.060108334E-2,-2.029479675E0,5.931415558E0,8.126001892E0,1.026315668E1
2.061308332E-2,-2.089504852E0,5.784720612E0,8.222551117E0,1.026836744E1
3.062608335E-2,-2.067350922E0,5.622757416E0,8.245603180E0,1.019212012E1
4.063808333E-2,-1.921404419E0,5.503006439E0,8.204588470E0,1.006430061E1
5.065337499E-2,-1.795216827E0,5.433999939E0,8.203241272E0,1.000221606E1
6.066637501E-2,-1.676513672E0,5.428012390E0,8.263416138E0,1.002786432E1
7.067837499E-2,-1.567091217E0,5.431904297E0,8.358318787E0,1.009073100E1
8.069037501E-2,-1.436712341E0,5.453160095E0,8.375083923E0,1.009668897E1
9.070337500E-2,-1.292113037E0,5.551655273E0,8.322842560E0,1.008762314E1
1.007153750E-1,-1.207538910E0,5.670957184E0,8.171058197E0,1.001918648E1
1.107283750E-1,-1.116378479E0,5.717510376E0,8.034242706E0,9.923975094E0
1.207403750E-1,-1.066232758E0,5.712271271E0,7.926466827E0,9.828314796E0
1.307523750E-1,-1.021924896E0,5.659580841E0,7.861501923E0,9.740554310E0
1.407653750E-1,-9.843530273E-1,5.550906830E0,7.743098145E0,9.577947922E0
1.507773750E-1,-9.156459045E-1,5.422922974E0,7.614515533E0,9.392941382E0
1.607893750E-1,-8.547225952E-1,5.324278107E0,7.480394440E0,9.221430965E0
1.708023750E-1,-8.072712708E-1,5.264552307E0,7.422913971E0,9.136019359E0
1.808143750E-1,-8.178991699E-1,5.203329620E0,7.398814087E0,9.082183002E0
1.908263750E-1,-8.460406494E-1,5.164260864E0,7.371121674E0,9.039845672E0
2.008393750E-1,-8.867559814E-1,5.159770203E0,7.328310699E0,9.006314586E0
2.108513750E-1,-9.196875000E-1,5.242697754E0,7.331454163E0,9.059907559E0
2.208633750E-1,-9.979747009E-1,5.360353088E0,7.430847473E0,9.216660616E0
2.308763750E-1,-1.117426300E0,5.466781769E0,7.577692108E0,9.410407118E0
2.408883750E-1,-1.223555603E0,5.559439087E0,7.701035614E0,9.576554746E0
2.509003750E-1,-1.326092377E0,5.680836639E0,7.893535309E0,9.815208892E0
2.609133750E-1,-1.483115845E0,5.775739288E0,8.070167999E0,1.003426173E1
2.709253750E-1,-1.624421997E0,5.849236450E0,8.202343140E0,1.020444741E1
2.809383750E-1,-1.681453400E0,5.903872833E0,8.297844543E0,1.032168707E1
2.909503750E-1,-1.638642426E0,5.836063843E0,8.352031860E0,1.031994314E1
3.009623750E-1,-1.701362000E0,5.629942474E0,8.296647034E0,1.016981991E1
3.109753750E-1,-1.660646667E0,5.495971069E0,8.275091858E0,1.007177197E1
3.209873750E-1,-1.218466187E0,5.158572693E0,8.470585327E0,9.992314440E0
3.309993750E-1,-9.292675781E-1,4.973557434E0,8.349038086E0,9.762491933E0
3.410123750E-1,-5.548960876E-1,4.783602448E0,8.302185516E0,9.597762572E0
3.510243750E-1,-2.047741699E-1,4.612657928E0,8.272996216E0,9.474228835E0
3.610363750E-1,1.540296936E-1,4.374353485E0,7.813751221E0,8.956193483E0
3.710493750E-1,4.646337891E-1,4.149521027E0,7.010072479E0,8.159382665E0
3.810613750E-1,7.363188171E-1,3.948638763E0,6.209836578E0,7.395673317E0
3.910733750E-1,9.108558655E-1,3.730691986E0,5.221741333E0,6.481844155E0
4.010863750E-1,1.073268127E0,3.582350464E0,4.146676941E0,5.583911619E0
4.110983750E-1,1.216819611E0,3.498225403E0,3.059338074E0,4.803933845E0
4.211103750E-1,1.306034088E0,3.404520264E0,2.131118317E0,4.223523238E0
4.311233750E-1,1.273252258E0,3.226839752E0,1.351539459E0,3.722945744E0
4.411353750E-1,1.323847046E0,3.187920685E0,5.203179932E-1,3.490865238E0
4.511483750E-1,1.396296387E0,3.328777771E0,-2.386038208E-1,3.617642441E0
