"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.679916662E-3,-5.936804352E0,4.613406372E0,7.491321716E0,1.061362640E1
8.333083329E-3,-5.797743530E0,4.322710876E0,7.518714752E0,1.043219684E1
1.834145832E-2,-5.777834930E0,4.302203522E0,7.572902069E0,1.045185043E1
2.835345833E-2,-5.632636871E0,4.592300262E0,7.480095062E0,1.042917264E1
3.836645832E-2,-5.586832123E0,4.453538818E0,7.203021240E0,1.014545298E1
4.837845833E-2,-5.469925232E0,4.012256470E0,7.153174896E0,9.858305895E0
5.839145833E-2,-5.361400909E0,3.825894012E0,7.061864777E0,9.656708488E0
6.840345834E-2,-5.317691803E0,3.803740082E0,7.131470032E0,9.674923748E0
7.841545832E-2,-5.478906555E0,3.865860901E0,7.299121399E0,9.911633102E0
8.842845832E-2,-5.685177612E0,4.046235809E0,7.402556305E0,1.017305797E1
9.844045833E-2,-5.973777466E0,4.132007446E0,7.607480164E0,1.051823451E1
1.084524583E-1,-6.162534943E0,4.076173553E0,7.789651337E0,1.073641913E1
1.184654583E-1,-6.148613892E0,4.027674408E0,7.854765930E0,1.075755371E1
1.284774583E-1,-6.148164825E0,3.959416351E0,7.799530792E0,1.069156626E1
1.384904583E-1,-6.081403656E0,3.978576508E0,7.614665222E0,1.052595211E1
1.485024583E-1,-5.773943024E0,3.878135376E0,7.541467438E0,1.025924379E1
1.585144583E-1,-5.424569550E0,3.712130585E0,7.593110046E0,1.004296711E1
1.685274583E-1,-5.313201141E0,3.583098907E0,7.266938324E0,9.689019391E0
1.785394583E-1,-5.368136902E0,3.193459167E0,7.378007355E0,9.666957524E0
1.885524583E-1,-5.620362396E0,2.984194336E0,7.385641479E0,9.748927601E0
1.985644583E-1,-5.899980927E0,2.919828186E0,6.848708038E0,9.499472268E0
2.085764583E-1,-6.333030396E0,2.576591949E0,6.621480560E0,9.517883424E0
2.185894583E-1,-6.512507172E0,2.099683685E0,6.638844452E0,9.533922430E0
2.286014583E-1,-5.778283997E0,1.943708038E0,7.214397583E0,9.445321560E0
2.386144583E-1,-5.132826233E0,8.752299500E-1,7.733218689E0,9.322800217E0
2.486264583E-1,-5.604196014E0,2.936892700E-1,8.172704773E0,9.913948238E0
2.586384583E-1,-5.420378265E0,6.289920044E-1,7.708220673E0,9.444193847E0
2.686514583E-1,-4.947810974E0,6.442602539E-1,6.912475433E0,8.525152276E0
2.786634583E-1,-5.636678467E0,5.562432861E-1,6.956633606E0,8.970858479E0
2.886764583E-1,-5.836213531E0,3.652404785E-1,7.538623352E0,9.540735351E0
2.986884583E-1,-6.124963074E0,-5.149291992E-2,7.638016663E0,9.790665080E0
3.087014583E-1,-6.418951721E0,-6.143225098E-1,6.875352631E0,9.426070610E0
3.187134583E-1,-6.629264374E0,-1.042731628E0,6.237079926E0,9.161637484E0
3.287254583E-1,-6.469546509E0,-1.055305481E0,5.484445038E0,8.546802856E0
3.387384583E-1,-5.121300201E0,-5.936654663E-1,4.618196411E0,6.921552754E0
3.487504583E-1,-4.211342468E0,-1.082249451E-1,3.802692261E0,5.675172813E0
3.587634583E-1,-3.879482574E0,2.103126526E-1,3.881428528E0,5.491821544E0
3.687754583E-1,-4.667444000E0,3.132984924E-1,4.721631317E0,6.646577445E0
3.787874583E-1,-6.255192261E0,1.384620667E-1,5.456752625E0,8.301972727E0
3.888004583E-1,-9.251062317E0,-6.493496704E-1,6.352040863E0,1.124065088E1
3.988124583E-1,-1.378573242E1,-2.355651398E0,7.850424957E0,1.603822571E1
4.088244583E-1,-1.513278122E1,-2.712958374E0,8.050259399E0,1.735418932E1
4.188374583E-1,-7.853867798E0,5.084925842E-1,7.356751556E0,1.077328165E1
4.288494583E-1,-3.839515686E0,1.794917450E0,7.210056610E0,8.363523520E0
4.388624583E-1,-2.975961456E0,1.898502045E0,8.436905365E0,9.145601606E0
4.488744583E-1,-3.545227661E0,1.494192810E0,8.976084137E0,9.765824991E0
4.588864583E-1,-5.057233429E0,7.369175720E-1,8.326285400E0,9.769630803E0
4.688994583E-1,-6.061495056E0,4.447251892E-1,7.971822510E0,1.002444297E1
4.789114583E-1,-6.343358917E0,1.022972717E0,6.873556366E0,9.409062262E0
4.889244583E-1,-5.630391541E0,1.941462708E0,6.353388062E0,8.708394008E0
4.989364583E-1,-4.420008545E0,2.746488647E0,7.155120850E0,8.847340267E0
5.089484583E-1,-3.185825043E0,3.358715515E0,7.170688477E0,8.535175707E0
5.189614583E-1,-2.653082886E0,3.642076263E0,7.059020691E0,8.374565148E0
5.289734583E-1,-2.420765991E0,3.682791595E0,7.631879425E0,8.812981645E0
5.389864583E-1,-1.725312195E0,3.108286285E0,7.932005310E0,8.692229521E0
5.489984583E-1,-1.327439575E0,1.893113251E0,7.325915680E0,7.682123024E0
5.590104583E-1,-1.157542877E0,1.371298370E0,6.529421997E0,6.771537222E0
5.690234583E-1,-5.700146484E-1,1.442250824E0,6.072871399E0,6.267756470E0
5.790354583E-1,5.643264771E-2,1.462009735E0,6.072871399E0,6.246633024E0
5.890484583E-1,2.718347168E-1,1.422791290E0,6.394402771E0,6.556417922E0
5.990604583E-1,4.206253052E-1,1.246757355E0,6.467301178E0,6.599796518E0
6.090724583E-1,1.071322174E0,1.144669647E0,6.292315063E0,6.484691871E0
6.190854583E-1,9.975256348E-1,1.191671906E0,5.674400024E0,5.883362556E0
6.290974583E-1,1.411564636E0,1.586401062E0,4.311633911E0,4.806180400E0
6.391104583E-1,2.348316650E0,1.602717133E0,4.344715118E0,5.192286852E0
6.491224583E-1,3.122207336E0,6.953041077E-1,5.123695221E0,6.040188670E0
6.591344583E-1,3.489244080E0,-1.667532349E-1,4.459376678E0,5.664686333E0
6.691474583E-1,3.451223145E0,-7.140151978E-1,3.523822174E0,4.983781858E0
6.791594583E-1,3.647465057E0,-1.279090118E0,3.382965088E0,5.136586966E0
6.891724583E-1,3.583547974E0,-1.329684906E0,3.893852692E0,5.456369380E0
6.991844583E-1,3.737427979E0,-6.310876465E-1,7.619455261E0,8.510154992E0
7.091964583E-1,5.884862366E0,-2.093845825E0,1.742227020E0,6.484685836E0
7.192094583E-1,4.757406921E0,-2.430645447E0,2.539020081E0,5.915030082E0
7.292214583E-1,4.594246216E0,-3.120560760E0,5.026247864E0,7.490538388E0
7.392344583E-1,5.319488068E0,-3.582200775E0,6.267317047E0,8.967071911E0
7.492464583E-1,6.318360901E0,-3.649261322E0,5.981112213E0,9.434643394E0
7.592584583E-1,7.355404358E0,-3.901636505E0,5.404511261E0,9.926403309E0
7.692714583E-1,8.541238403E0,-4.305646362E0,5.517825623E0,1.104254245E1
7.792834583E-1,9.556127930E0,-4.268822937E0,6.193819885E0,1.216165429E1
7.892964583E-1,1.054482193E1,-3.850892029E0,7.393724670E0,1.344209074E1
7.993084583E-1,1.128188919E1,-3.615880737E0,8.033494263E0,1.431407165E1
8.093204583E-1,1.167048111E1,-3.903732147E0,7.756121063E0,1.454636271E1
