"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.145750001E-3,-4.952301636E0,2.429447937E0,8.173453217E0,9.860671694E0
1.315774999E-2,-4.797673187E0,2.556234283E0,8.357570343E0,9.970004201E0
2.316975000E-2,-4.926405487E0,2.650687866E0,8.466094666E0,1.014743199E1
3.318174998E-2,-5.068609772E0,2.776127014E0,8.568781128E0,1.033545820E1
4.319375000E-2,-5.197192383E0,2.812052307E0,8.446485443E0,1.030832495E1
5.320674999E-2,-5.222340088E0,2.739902344E0,8.408314819E0,1.027032906E1
6.321875000E-2,-5.044060822E0,2.613565063E0,8.504414978E0,1.022733328E1
7.323074999E-2,-4.778213654E0,2.536175995E0,8.504265289E0,1.007899015E1
8.324275000E-2,-4.567751312E0,2.429447937E0,8.571325836E0,1.001170295E1
9.325574999E-2,-4.418811035E0,2.351160736E0,8.642128601E0,9.987003281E0
1.032677500E-1,-4.358037415E0,2.293530579E0,8.682394867E0,9.981821139E0
1.132797500E-1,-4.351600800E0,2.226919098E0,8.736432495E0,1.001103646E1
1.232917500E-1,-4.405788116E0,2.162103882E0,8.761729889E0,1.004258795E1
1.333047500E-1,-4.448449402E0,2.172731781E0,8.757688293E0,1.006014760E1
1.433167500E-1,-4.561314697E0,2.193538513E0,8.723110199E0,1.008513037E1
1.533287500E-1,-4.822371826E0,2.193538513E0,8.710835724E0,1.019536857E1
1.633407500E-1,-5.054688721E0,2.130968628E0,8.780291290E0,1.035299090E1
1.733527500E-1,-5.252277832E0,2.105371857E0,8.791667633E0,1.045525862E1
1.833657500E-1,-5.227429504E0,1.916614380E0,8.719966736E0,1.034588081E1
1.933777500E-1,-4.992118835E0,1.581311646E0,8.800199890E0,1.024037671E1
2.033897500E-1,-4.679568787E0,1.313069458E0,8.768316193E0,1.002526231E1
2.134017500E-1,-4.339775391E0,1.237776031E0,8.938063202E0,1.001272759E1
2.234147500E-1,-4.138593750E0,1.296603699E0,9.302106171E0,1.026344575E1
2.334267500E-1,-4.055965576E0,1.395098877E0,9.410031738E0,1.034146290E1
2.434387500E-1,-4.320016479E0,1.487157440E0,9.448202362E0,1.049488959E1
2.534507500E-1,-5.206024017E0,1.212179260E0,9.121431885E0,1.057225540E1
2.634627500E-1,-5.355263672E0,1.379381561E0,9.648036804E0,1.112052861E1
2.734757500E-1,-5.549110565E0,1.404379578E0,1.012314880E1,1.162940462E1
2.834877500E-1,-5.565426636E0,1.120569763E0,1.027927414E1,1.174279043E1
2.934997500E-1,-5.324577484E0,9.231303406E-1,1.031145721E1,1.164171142E1
