"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.302833338E-3,-5.881419525E0,3.332370300E0,7.579039307E0,1.015566956E1
1.231483335E-2,-5.847290497E0,3.282973022E0,7.756719818E0,1.025355647E1
2.232683334E-2,-5.771697693E0,3.091521149E0,7.709418182E0,1.011459965E1
3.233983333E-2,-5.739364929E0,2.994672546E0,7.629185028E0,1.000564029E1
4.235183334E-2,-5.689518585E0,2.984643402E0,7.636968842E0,9.980080714E0
5.236383335E-2,-5.631589050E0,2.927911377E0,7.881859589E0,1.011984046E1
6.237570834E-2,-5.467979279E0,2.758912811E0,8.043373718E0,1.010971108E1
7.238770835E-2,-5.222489777E0,2.423310699E0,8.033943329E0,9.883879786E0
8.240070834E-2,-4.891827393E0,2.449805603E0,8.125103760E0,9.795347561E0
9.241270833E-2,-4.616998901E0,2.515668640E0,8.129295044E0,9.681461949E0
1.024247083E-1,-4.555626526E0,2.322719879E0,8.264314270E0,9.718418134E0
1.124367084E-1,-4.643643494E0,2.373913422E0,8.199049988E0,9.717165766E0
1.224487083E-1,-4.918172607E0,2.481838989E0,8.203091583E0,9.881227560E0
1.324607084E-1,-5.050198059E0,2.601889343E0,8.174650726E0,9.954860275E0
1.424737083E-1,-5.049898682E0,2.719394989E0,8.103249207E0,9.927700313E0
1.524857083E-1,-5.009632416E0,2.870281219E0,8.074658661E0,9.926481940E0
1.624977083E-1,-4.876259766E0,2.945574646E0,8.030650177E0,9.846098799E0
1.725097084E-1,-4.852908325E0,2.889141998E0,8.045169983E0,9.829680603E0
1.825217083E-1,-4.934788055E0,2.911146240E0,7.988587646E0,9.830790313E0
1.925347083E-1,-4.986730042E0,2.911146240E0,8.031398621E0,9.891694129E0
2.025467083E-1,-4.860991516E0,2.713706818E0,8.110583954E0,9.837429303E0
2.125587083E-1,-4.436623993E0,2.410287781E0,8.093220062E0,9.539042437E0
2.225707083E-1,-4.158502350E0,2.305655365E0,8.218808899E0,9.495157090E0
2.325827084E-1,-4.092938690E0,2.466570740E0,8.266559601E0,9.548409604E0
2.425957083E-1,-4.199966125E0,2.693498840E0,8.212971039E0,9.609762991E0
