"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.094250008E-3,-1.285826111E0,2.240840149E0,8.456364899E0,8.842218085E0
1.108424994E-2,-1.451531525E0,2.352657623E0,8.580606537E0,9.014918203E0
2.107424999E-2,-1.658551025E0,2.383044434E0,8.928183746E0,9.388405471E0
3.106424992E-2,-2.117496643E0,2.403402100E0,9.828860779E0,1.033763212E1
4.105424997E-2,-2.236349487E0,2.251767426E0,9.849068756E0,1.034774714E1
5.104425002E-2,-2.103126526E0,2.208956451E0,9.623936920E0,1.009568183E1
6.103424996E-2,-1.935175781E0,2.039508820E0,9.425599365E0,9.835976053E0
7.102425001E-2,-1.857786713E0,1.693578186E0,9.512867889E0,9.839422444E0
8.101424994E-2,-1.672921143E0,1.942809906E0,9.858648834E0,1.018656627E1
9.100424999E-2,-1.333876190E0,2.085313568E0,1.003034180E1,1.033128815E1
1.009942499E-1,-1.263223114E0,2.104623413E0,1.012060410E1,1.041401938E1
1.109842500E-1,-1.382525024E0,2.154170380E0,1.013227982E1,1.045059423E1
1.209752500E-1,-1.417402496E0,2.080224152E0,9.864187317E0,1.018030224E1
1.309652500E-1,-1.432071991E0,2.059417419E0,9.603878632E0,9.926052340E0
1.409552500E-1,-1.486259308E0,2.156565399E0,9.390871582E0,9.749267158E0
1.509452499E-1,-1.622026978E0,2.291734314E0,9.258397064E0,9.674757562E0
1.609352500E-1,-1.779200134E0,2.461181946E0,9.257498932E0,9.742907993E0
1.709252499E-1,-1.707648926E0,2.640658722E0,9.185049591E0,9.708464314E0
1.809152500E-1,-1.197210388E0,2.615511017E0,9.162147217E0,9.603080350E0
1.909052500E-1,-7.797285461E-1,2.359692993E0,9.347761230E0,9.672474743E0
2.008952500E-1,-1.282233582E0,2.372416534E0,9.483678589E0,9.859647192E0
2.108852500E-1,-1.632205811E0,2.596201172E0,9.288484497E0,9.781630773E0
2.208752499E-1,-1.851200409E0,2.445464630E0,9.065448303E0,9.570245198E0
2.308652500E-1,-1.105002136E0,1.641336823E0,8.664282532E0,8.887339764E0
2.408552499E-1,-1.058598633E0,1.433568878E0,8.919801178E0,9.096076289E0
2.508452500E-1,-1.057251434E0,1.899699554E0,9.105864258E0,9.361805535E0
2.608352500E-1,-6.625222778E-1,2.622247009E0,9.349258118E0,9.732612316E0
2.708252500E-1,-2.381547546E-1,2.438728638E0,9.261091461E0,9.579766704E0
2.808152500E-1,-1.981878662E-1,1.711091766E0,9.221423950E0,9.380926027E0
2.908052499E-1,-1.740879822E-1,1.398990784E0,8.621172180E0,8.735679229E0
3.007952500E-1,3.038681030E-2,1.537003784E0,8.566236420E0,8.703086257E0
3.107852499E-1,1.962419128E-1,2.068099365E0,8.629854126E0,8.876369084E0
3.207762500E-1,1.285826111E-1,2.411485291E0,8.329428864E0,8.672437949E0
3.307662500E-1,-1.453477478E-1,2.224673767E0,8.211174774E0,8.508448185E0
3.407562500E-1,-1.408570862E-1,2.165846100E0,8.253985748E0,8.534577364E0
3.507462500E-1,8.367599487E-2,1.977088623E0,8.500223694E0,8.727524502E0
3.607362499E-1,1.178050232E-1,1.373394012E0,8.823251953E0,8.930277944E0
3.707262500E-1,-6.810836792E-2,7.943980408E-1,9.556127930E0,9.589331990E0
3.807162499E-1,4.487667847E-1,1.184037781E0,9.667646027E0,9.750216243E0
3.907062500E-1,-3.839515686E-1,9.030720520E-1,9.959089966E0,1.000731887E1
4.006962500E-1,-6.357279968E-1,8.544232178E-1,1.051263885E1,1.056644523E1
4.106862500E-1,-5.523513794E-2,6.982978821E-1,1.070828201E1,1.073116837E1
4.206762500E-1,1.305285645E-1,1.582060089E0,1.140777740E1,1.151769669E1
4.306662499E-1,-1.401086426E-1,2.124382324E0,1.174577454E1,1.193716257E1
4.406562500E-1,9.759704590E-2,1.956730957E0,1.179801590E1,1.195957777E1
4.506462499E-1,1.395697632E0,1.933978271E0,1.149160309E1,1.173648948E1
4.606362500E-1,3.908372498E-1,1.195414124E0,1.201760925E1,1.208324049E1
4.706262500E-1,7.050338745E-1,1.106948090E0,1.166628983E1,1.173987756E1
4.806162500E-1,1.620979156E0,8.937913513E-1,1.065125061E1,1.081090079E1
4.906062500E-1,1.306632843E0,-1.314266968E-1,1.004561005E1,1.013108304E1
5.005962499E-1,1.708397369E0,-6.448590088E-1,1.003528152E1,1.020006569E1
5.105862500E-1,1.700314178E0,-1.014290771E0,1.030696655E1,1.049539964E1
5.205762499E-1,1.684596863E0,-7.098239136E-1,1.071486832E1,1.086968811E1
5.305672500E-1,1.533111877E0,-3.844006348E-1,1.067415298E1,1.079053927E1
5.405572500E-1,9.698332214E-1,-2.305206299E-1,1.010952713E1,1.015855576E1
5.505472500E-1,5.983058167E-1,-4.333488464E-1,9.811496887E0,9.839269904E0
5.605372500E-1,-2.064207458E-1,4.956193542E-1,1.013916550E1,1.015337013E1
5.705272499E-1,8.981323242E-2,2.133064270E0,1.014590149E1,1.036809272E1
5.805172500E-1,-5.783972168E-1,2.871778107E0,1.029963181E1,1.070813094E1
5.905072499E-1,-2.417772217E0,2.186353455E0,1.086695206E1,1.134532551E1
6.004972500E-1,-2.833158417E0,2.055974579E0,1.056038956E1,1.112545036E1
6.104872500E-1,-4.140689392E0,3.580554199E0,9.373956757E0,1.085526335E1
6.204772500E-1,-5.258265381E0,5.875282288E0,8.737630005E0,1.176921726E1
6.304672500E-1,-2.458038483E0,5.685027924E0,8.776399384E0,1.074181930E1
6.404572499E-1,-9.369017029E-1,3.640579376E0,8.086334381E0,8.917421529E0
6.504472500E-1,3.323089600E-1,1.988464966E0,6.122418365E0,6.445807072E0
6.604372499E-1,1.077758789E0,1.657353516E0,4.579127655E0,4.987664259E0
6.704272500E-1,7.997868347E-1,2.307301941E0,3.714525604E0,4.445334823E0
6.804172500E-1,-5.496569824E-1,4.001329193E0,4.649481354E0,6.158768949E0
6.904072500E-1,-1.537901917E0,5.936654663E0,6.742578735E0,9.114350163E0
7.003972500E-1,-4.537065125E-1,5.752088470E0,7.983647919E0,9.850431740E0
7.103872499E-1,1.124461670E0,4.187541962E0,8.641529846E0,9.668296634E0
7.203772500E-1,1.428180084E0,3.212769012E0,8.836274872E0,9.510065020E0
7.303682499E-1,1.120120697E0,3.132835236E0,8.841214600E0,9.446502135E0
7.403582500E-1,8.931925964E-1,3.794010315E0,9.544901276E0,1.031006536E1
7.503482500E-1,5.038522339E-1,4.580175476E0,1.040097107E1,1.137594276E1
7.603382500E-1,1.916015625E-2,5.015320587E0,1.114597183E1,1.222237685E1
7.703282500E-1,-4.972659302E-1,4.550237732E0,1.099433716E1,1.190913038E1
7.803182499E-1,2.679428101E-2,3.289559326E0,9.723629608E0,1.026503245E1
7.903082500E-1,1.760339355E-1,1.884131927E0,8.545878754E0,8.752884367E0
8.002982499E-1,1.945953369E-2,1.215322723E0,9.179960175E0,9.260078661E0
8.102882500E-1,6.001020813E-1,1.540895691E0,8.573870544E0,8.731880562E0
8.202782500E-1,-7.053332520E-1,1.154100037E0,6.789431305E0,6.922847632E0
8.302682500E-1,-5.201683044E-1,1.271306305E0,8.590336304E0,8.699463926E0
8.402582500E-1,-3.679348755E-1,6.255491638E-1,1.015877472E1,1.018466453E1
8.502482499E-1,-1.969604187E0,-8.813671875E-1,1.117845428E1,1.138481396E1
8.602375833E-1,-1.659598846E0,-6.179150391E-1,1.125240051E1,1.139090008E1
8.702275833E-1,-2.600093079E0,-4.076023865E-1,1.039722885E1,1.072515695E1
8.802175833E-1,-1.703008575E0,5.691165161E-1,9.562115479E0,9.729243765E0
8.902075833E-1,9.216334534E-1,1.780846710E0,9.313033447E0,9.526458692E0
9.001975834E-1,-6.008505249E-1,1.641336823E0,9.744735718E0,9.900246569E0
9.101875833E-1,6.985972595E-1,8.342152405E-1,9.429491272E0,9.492062939E0
9.201775833E-1,5.771997070E-1,1.052611084E0,9.561367035E0,9.636435501E0
9.301675833E-1,6.497987366E-1,1.249152374E0,9.811047821E0,9.911573003E0
9.401575833E-1,1.005758514E0,1.306632843E0,9.353150024E0,9.497381479E0
9.501485833E-1,3.192860413E-1,9.352551270E-1,9.471404114E0,9.522822146E0
9.601385833E-1,1.094224548E-1,3.742218018E-3,9.398954773E0,9.399592443E0
