"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-5.388333229E-4,5.486540680E0,3.772305450E0,7.176676025E0,9.789642272E0
9.451166727E-3,5.580545197E0,3.906426544E0,6.792125702E0,9.619543887E0
1.944116666E-2,5.718857574E0,4.067192230E0,6.571933594E0,9.614452442E0
2.943116671E-2,5.525759125E0,3.983216858E0,6.453380127E0,9.383290761E0
3.942116664E-2,5.108127594E0,3.994892578E0,6.439608765E0,9.138965766E0
4.941116669E-2,4.777914276E0,3.956272888E0,6.506519623E0,8.989736236E0
5.940216675E-2,4.327650604E0,3.968547363E0,6.672374725E0,8.888110733E0
6.939216668E-2,3.979175262E0,3.976331177E0,6.912026367E0,8.911854683E0
7.938216673E-2,3.768563232E0,3.971990204E0,7.082821198E0,8.952381311E0
8.937216667E-2,3.599864044E0,3.944447479E0,7.203919373E0,8.967393232E0
9.936216671E-2,3.485352173E0,3.864663391E0,7.335645447E0,8.994164609E0
1.093521666E-1,3.521576843E0,3.772754517E0,7.508835297E0,9.111409749E0
1.193431667E-1,3.586990814E0,3.747606812E0,7.700436859E0,9.284814900E0
1.293331666E-1,3.481909332E0,3.622766418E0,7.722890167E0,9.213639979E0
1.393231667E-1,3.313210144E0,3.545077972E0,7.608078918E0,9.023735597E0
1.493131667E-1,3.171903992E0,3.661086731E0,7.647746429E0,9.052765126E0
1.593031667E-1,3.003204803E0,3.663032684E0,8.037984924E0,9.329857940E0
1.692931667E-1,2.762355652E0,3.469335480E0,8.295748901E0,9.406718198E0
1.792831667E-1,2.599344635E0,3.278332672E0,8.569679260E0,9.536428066E0
1.892741667E-1,2.476749573E0,3.070265350E0,8.823551331E0,9.665188868E0
1.992641666E-1,2.446662140E0,2.848127289E0,8.994645538E0,9.746878118E0
2.092541667E-1,2.429148560E0,2.647843781E0,9.195527802E0,9.872667874E0
2.192441667E-1,2.467019806E0,2.474354553E0,9.404493256E0,1.003260238E1
2.292341667E-1,2.561922455E0,2.350412292E0,9.524393921E0,1.013913035E1
2.392241667E-1,2.670297089E0,2.322570190E0,9.644743652E0,1.027355338E1
2.492141667E-1,2.747835846E0,2.342329102E0,9.759255524E0,1.040577608E1
2.592051667E-1,2.783761139E0,2.356100464E0,9.866282959E0,1.051874873E1
2.691951666E-1,2.725083160E0,2.322570190E0,9.988728333E0,1.061108403E1
2.791851667E-1,2.657573547E0,2.261497192E0,1.015727783E1,1.073998881E1
2.891751667E-1,2.447111206E0,2.061213684E0,1.018197647E1,1.067284404E1
2.991651667E-1,2.172133026E0,1.849404144E0,1.013542328E1,1.052925746E1
3.091551667E-1,2.000290375E0,1.774859161E0,1.023032593E1,1.057406522E1
3.191451667E-1,1.802701263E0,1.759141846E0,1.027448410E1,1.057872088E1
3.291361667E-1,1.576521606E0,1.802401886E0,1.022388931E1,1.050057073E1
3.391261667E-1,1.375339966E0,1.869911499E0,1.022388931E1,1.048408516E1
3.491161667E-1,1.227597198E0,1.935325470E0,1.028211823E1,1.053444041E1
3.591061666E-1,1.161584473E0,1.938917999E0,1.020892044E1,1.045613399E1
3.690961667E-1,1.181792450E0,1.894460449E0,1.009246262E1,1.033650886E1
3.790861667E-1,1.272803192E0,1.811383209E0,1.000339783E1,1.024544314E1
3.890761667E-1,1.367406464E0,1.733694763E0,9.874964905E0,1.011881563E1
3.990671667E-1,1.369651794E0,1.690734100E0,9.592202911E0,9.835897749E0
4.090571667E-1,1.348395996E0,1.744172974E0,9.374106445E0,9.629858918E0
4.190471667E-1,1.406325531E0,1.836231537E0,9.285939789E0,9.569648662E0
4.290371666E-1,1.515897675E0,1.910327454E0,9.266629944E0,9.582156712E0
4.390271667E-1,1.681154022E0,1.952240295E0,9.296717377E0,9.647096714E0
4.490171667E-1,1.773811340E0,1.850601654E0,9.234746246E0,9.583927764E0
4.590071667E-1,1.800605621E0,1.657054138E0,9.108408966E0,9.431390296E0
4.689981667E-1,1.761087799E0,1.470242615E0,9.031468964E0,9.318287140E0
4.789881667E-1,1.699865112E0,1.447639618E0,9.002579041E0,9.275323781E0
4.889781667E-1,1.632205811E0,1.478026428E0,8.869356079E0,9.138606852E0
4.989681666E-1,1.587149506E0,1.622026978E0,8.887618103E0,9.172773333E0
5.089581667E-1,1.539698181E0,1.816023560E0,9.103918304E0,9.410097797E0
5.189481667E-1,1.467099152E0,1.942809906E0,9.348210297E0,9.660016874E0
5.289380417E-1,1.448837128E0,1.997296600E0,9.667196960E0,9.977124827E0
5.389290417E-1,1.403631134E0,1.865271149E0,9.910740509E0,1.018195434E1
5.489190416E-1,1.206042023E0,1.545835419E0,9.964179382E0,1.015524570E1
5.589090417E-1,9.466314697E-1,1.188378754E0,9.969568176E0,1.008467376E1
5.688990417E-1,7.849676514E-1,1.010398865E0,9.980495453E0,1.006217519E1
5.788890417E-1,6.755451965E-1,9.639953613E-1,1.001013382E1,1.007910847E1
5.888790417E-1,6.192622375E-1,8.997789001E-1,9.943073273E0,1.000288928E1
5.988690417E-1,5.831872559E-1,8.705895996E-1,9.823471985E0,9.879202167E0
6.088600417E-1,4.863386536E-1,9.981243896E-1,9.877958679E0,9.940163241E0
6.188500416E-1,4.156855774E-1,1.013692017E0,1.013482452E1,1.019387238E1
6.288400417E-1,4.653822327E-1,8.449928284E-1,1.022897873E1,1.027436613E1
6.388300417E-1,3.198847961E-1,7.126679993E-1,1.013392639E1,1.016398967E1
6.488200417E-1,1.053808594E-1,6.947053528E-1,1.016595978E1,1.019021388E1
6.588100417E-1,-2.303709412E-1,8.619076538E-1,1.020487885E1,1.024380339E1
6.688000417E-1,-4.330494690E-1,9.349557495E-1,1.004710693E1,1.009980355E1
6.787910417E-1,-4.960684204E-1,7.375163269E-1,9.798623657E0,9.838853581E0
6.887810417E-1,-5.203179932E-1,6.062393188E-1,9.504485321E0,9.538002838E0
6.987710417E-1,-4.203259277E-1,3.294648743E-1,9.470505981E0,9.485552411E0
7.087610418E-1,-3.969744873E-1,2.336640930E-1,9.433383179E0,9.444623118E0
7.187510417E-1,-2.615061951E-1,2.535726929E-1,9.375902710E0,9.382975873E0
7.287410417E-1,4.460723877E-2,2.757266235E-1,9.346713409E0,9.350885869E0
7.387310417E-1,2.249821472E-1,3.716770935E-1,9.279503174E0,9.289668454E0
7.487220417E-1,2.203417969E-1,4.475692749E-1,9.359436951E0,9.372722593E0
7.587120417E-1,-5.328918457E-2,5.029541016E-1,9.474248199E0,9.487738482E0
7.687020417E-1,-3.978726196E-1,5.691165161E-1,9.467212830E0,9.492645311E0
7.786920416E-1,-5.095404053E-1,5.939648438E-1,9.282796326E0,9.315725054E0
7.886820417E-1,-3.954776001E-1,4.828958130E-1,9.116192780E0,9.137535865E0
7.986720417E-1,1.023870850E-1,5.433700562E-2,8.960516510E0,8.961266191E0
8.086620417E-1,7.400610352E-1,-3.960763550E-1,8.910071411E0,8.949521740E0
8.186530417E-1,1.064286804E0,-4.323010254E-1,9.099727020E0,9.171947581E0
8.286430417E-1,1.384770355E0,-4.540058899E-1,9.033714294E0,9.150502950E0
8.386330417E-1,1.212778015E0,-2.342628479E-1,9.272767181E0,9.354673741E0
8.486230416E-1,3.579057312E-1,6.321354675E-1,9.803713074E0,9.830589087E0
8.586130417E-1,-6.480024719E-1,1.300645294E0,1.035830978E1,1.045974029E1
8.686030417E-1,-1.439706116E0,1.473984833E0,1.037312897E1,1.057578317E1
8.785930417E-1,-2.320923615E0,1.718725891E0,1.078207855E1,1.116216480E1
8.885840417E-1,-2.746638336E0,1.811981964E0,1.091979218E1,1.140478680E1
8.985740417E-1,-4.103117523E0,2.206262054E0,1.072474777E1,1.169287734E1
9.085640417E-1,-5.179978180E0,2.559377747E0,1.032642609E1,1.183290599E1
9.185540417E-1,-3.503464508E0,1.821711731E0,1.040920395E1,1.113303301E1
9.285440417E-1,-1.224603424E0,8.382568359E-1,1.076456497E1,1.086637875E1
9.385340418E-1,-4.746629333E-1,9.345066833E-1,1.079749649E1,1.084825046E1
9.485240417E-1,-5.867797852E-2,9.029223633E-1,1.061502594E1,1.065351996E1
9.585150417E-1,-4.206253052E-2,7.643106079E-1,1.014964371E1,1.017846783E1
9.685050417E-1,-3.158432007E-1,6.842271423E-1,9.763297119E0,9.792338553E0
9.784950417E-1,-6.569837952E-1,5.794450378E-1,9.559870148E0,9.599921953E0
9.884850417E-1,-9.472302246E-1,3.966751099E-1,9.576036530E0,9.630943456E0
9.984750417E-1,-1.127305756E0,2.192939758E-1,9.816735992E0,9.883684215E0
1.008465042E0,-1.221609650E0,8.262817383E-2,9.810449066E0,9.886559990E0
1.018455042E0,-1.186732178E0,1.062789917E-1,9.676327972E0,9.749407752E0
1.028446042E0,-1.066232758E0,3.532653809E-1,9.636510773E0,9.701751831E0
1.038436042E0,-9.943821716E-1,5.869294739E-1,9.518705750E0,9.588484826E0
1.048426042E0,-9.845027161E-1,7.668553162E-1,9.422306213E0,9.504586632E0
1.058416042E0,-1.028960266E0,9.708810425E-1,9.480535126E0,9.585505490E0
1.068406042E0,-9.556127930E-1,1.171164551E0,9.591304779E0,9.709683289E0
1.078396042E0,-7.499404907E-1,1.204395447E0,9.504635010E0,9.609946191E0
1.088386042E0,-6.212081909E-1,1.060245209E0,9.304950256E0,9.385740184E0
1.098376042E0,-6.234535217E-1,9.845027161E-1,9.152118073E0,9.226006997E0
1.108367042E0,-6.990463257E-1,1.026864624E0,9.006920013E0,9.092179323E0
1.118357042E0,-9.101074219E-1,1.178349609E0,9.056766357E0,9.178334281E0
1.128347042E0,-1.124461670E0,1.336420898E0,9.354646912E0,9.516294116E0
1.138337042E0,-1.184486847E0,1.404678955E0,9.545350342E0,9.720588727E0
1.148327042E0,-1.108894043E0,1.416953430E0,9.751621399E0,9.916225236E0
1.158317042E0,-9.412426758E-1,1.418150940E0,9.974507904E0,1.011869052E1
1.168307042E0,-7.960446167E-1,1.340761871E0,1.012734009E1,1.024667491E1
1.178298042E0,-7.207511902E-1,1.307530975E0,1.013916550E1,1.024850216E1
1.188288042E0,-8.075706482E-1,1.467548218E0,1.012883698E1,1.026641157E1
1.198278042E0,-9.816586304E-1,1.607656860E0,9.911938019E0,1.008933742E1
1.208268042E0,-1.045426025E0,1.670825500E0,9.669741669E0,9.868560045E0
1.218258042E0,-9.990225220E-1,1.753004608E0,9.641151123E0,9.850018585E0
1.228248042E0,-8.976832581E-1,1.822759552E0,9.652976532E0,9.864494085E0
1.238239042E0,-7.551795959E-1,1.854044495E0,9.618248749E0,9.824382230E0
1.248229042E0,-6.727011108E-1,1.807640991E0,9.573042755E0,9.765410402E0
1.258219042E0,-7.553292847E-1,1.688039703E0,9.562564545E0,9.739745430E0
1.268209042E0,-8.530760193E-1,1.667382660E0,9.451345825E0,9.635135782E0
1.278199042E0,-8.545729065E-1,1.756746826E0,9.254505157E0,9.458452303E0
1.288189042E0,-8.478369141E-1,1.784888306E0,9.114396515E0,9.326139476E0
1.298179042E0,-8.117619324E-1,1.635199585E0,9.006920013E0,9.190073082E0
1.308169042E0,-6.885681152E-1,1.476679230E0,8.934919739E0,9.082262842E0
1.318160042E0,-5.715115356E-1,1.513352966E0,9.024433594E0,9.168274883E0
1.328150042E0,-4.680766296E-1,1.816622314E0,9.374555511E0,9.560413349E0
1.338140042E0,-4.035607910E-1,2.028880920E0,9.564959564E0,9.786095777E0
1.348130042E0,-3.035687256E-1,2.026934967E0,9.557624817E0,9.774907236E0
1.358120042E0,-2.363584900E-1,2.021995239E0,9.632169800E0,9.844949220E0
1.368110042E0,-1.071771240E-1,1.961520996E0,9.732910309E0,9.929178951E0
1.378100042E0,3.023712158E-2,1.877395935E0,9.813442841E0,9.991455858E0
1.388091042E0,1.368154907E-1,1.773811340E0,9.773176575E0,9.933786061E0
1.398081042E0,1.210981750E-1,1.678160248E0,9.755812683E0,9.899836751E0
1.408071042E0,-3.876937866E-1,1.619182892E0,9.775272217E0,9.916047934E0
1.418061042E0,-2.254312134E-1,1.679806824E0,9.852212219E0,9.996932320E0
1.428051042E0,-4.266128540E-2,2.000739441E0,9.911638641E0,1.011164472E1
1.438041042E0,-1.568737793E-1,2.216141510E0,9.837842102E0,1.008558525E1
1.448031042E0,-1.537303162E-1,2.164798279E0,9.625284119E0,9.866918413E0
1.458022042E0,-1.809736633E-1,2.161056061E0,9.711205444E0,9.950398281E0
1.468012042E0,-1.905537415E-1,1.916764069E0,9.879904633E0,1.006592324E1
1.478002042E0,-6.526428223E-2,1.722318420E0,9.904154205E0,1.005300506E1
1.487992042E0,-2.484832764E-2,1.790726166E0,9.946965179E0,1.010690031E1
1.497982042E0,-3.697311401E-2,1.722468109E0,9.778116302E0,9.928737172E0
1.507972042E0,-5.373825073E-2,1.639390869E0,9.617649994E0,9.756519955E0
1.517962042E0,-7.319778442E-2,1.488205261E0,9.441765747E0,9.558611470E0
1.527953458E0,-1.646575928E-3,1.313817902E0,9.212592316E0,9.305803424E0
1.537943458E0,6.795867920E-2,1.262175293E0,9.087452545E0,9.174938616E0
1.547933458E0,1.351689148E-1,1.279389496E0,8.991053009E0,9.082628602E0
1.557923458E0,6.556365967E-2,1.351838837E0,8.941506042E0,9.043356520E0
1.567913458E0,-2.326162720E-1,1.394799500E0,9.034762115E0,9.144752728E0
1.577903458E0,-5.301974487E-1,1.339414673E0,9.212442627E0,9.324389533E0
1.587893458E0,-7.737409973E-1,1.324445801E0,9.583820343E0,9.705794361E0
1.597883458E0,-1.114432526E0,1.490749969E0,9.881251831E0,1.005502029E1
1.607874458E0,-1.155297546E0,1.933080139E0,9.875264282E0,1.012878847E1
1.617864458E0,-9.065148926E-1,2.202819214E0,9.724677429E0,1.001216924E1
1.627854458E0,-2.903961182E-2,1.849254456E0,9.616003418E0,9.792247294E0
1.637844458E0,7.640112305E-1,1.272653503E0,9.759105835E0,9.871347770E0
1.647834458E0,3.385958862E-1,1.195114746E0,1.066427353E1,1.073637166E1
1.657824458E0,6.376739502E-2,1.501677246E0,1.040321640E1,1.051123267E1
1.667814458E0,-1.564247131E-1,1.735191650E0,1.041579025E1,1.056049456E1
1.677805458E0,-2.586621094E-1,1.610351257E0,1.045815216E1,1.058456819E1
1.687795458E0,-1.612147522E-1,1.302142181E0,1.023571472E1,1.031946803E1
1.697785458E0,-1.242416382E-1,1.176403656E0,1.030187714E1,1.036957251E1
1.707775458E0,-2.701881409E-1,1.203946381E0,1.040186920E1,1.047479696E1
1.717765458E0,-4.866380310E-1,1.257385254E0,1.051757858E1,1.060364529E1
1.727755458E0,-6.881190491E-1,1.331630859E0,1.048794022E1,1.059450983E1
1.737745458E0,-7.346722412E-1,1.351389771E0,1.023676254E1,1.035168126E1
1.747736458E0,-1.118474121E0,1.393452301E0,9.914931793E0,1.007464968E1
1.757726458E0,-1.210981750E0,1.483714600E0,9.544901276E0,9.735143870E0
1.767716458E0,-8.101153564E-1,1.756896515E0,9.182504883E0,9.384101884E0
1.777706458E0,-8.503816223E-1,1.716330872E0,8.811875610E0,9.017654481E0
1.787696458E0,-1.259630585E0,1.629661102E0,8.712781677E0,8.952934104E0
1.797686458E0,-1.538051605E0,1.834584961E0,8.567733307E0,8.895918094E0
1.807676458E0,-9.373507690E-1,1.341210938E0,8.966504059E0,9.114585469E0
1.817666458E0,8.816665649E-2,1.111289062E0,9.756710815E0,9.820190562E0
1.827657458E0,-4.490661621E-2,1.488804016E0,9.881251831E0,9.992882054E0
1.837647458E0,-4.035607910E-1,1.864672394E0,9.828262024E0,1.001172307E1
1.847637458E0,-2.619552612E-1,1.854044495E0,9.844278717E0,1.002077467E1
1.857627458E0,-1.987866211E-1,1.783241730E0,9.811945953E0,9.974655412E0
1.867617458E0,-3.126997375E-1,1.865869904E0,9.740095367E0,9.922132301E0
1.877607458E0,-5.421725464E-1,2.044598236E0,9.722432098E0,9.949875322E0
1.887597458E0,-4.915777588E-1,2.123035126E0,9.689201202E0,9.931240949E0
1.897588458E0,-4.543052673E-1,2.217638397E0,9.611512756E0,9.874486863E0
1.907578458E0,-1.344204712E-1,2.381697235E0,9.509275360E0,9.803921076E0
1.917568458E0,-2.472857666E-1,2.711611176E0,9.499096527E0,9.881640565E0
1.927558458E0,-2.133064270E-1,2.838547211E0,9.490414581E0,9.908118834E0
1.937548458E0,-1.466949463E-1,2.788551178E0,9.259893951E0,9.671771972E0
1.947538458E0,-3.591032410E-1,2.690056000E0,9.237440643E0,9.627858851E0
1.957528458E0,-5.601351929E-1,2.531835022E0,9.230554962E0,9.587861332E0
1.967518458E0,-5.554948425E-1,2.362686768E0,9.510622559E0,9.815437063E0
1.977509458E0,-6.718029785E-1,2.198478241E0,9.735604706E0,1.000333069E1
1.987499458E0,-8.225395203E-1,1.982776794E0,9.853260040E0,1.008437943E1
1.997489458E0,-1.080752563E0,1.864223328E0,9.872569885E0,1.010499831E1
2.007479458E0,-1.387913818E0,1.811233521E0,9.617200928E0,9.884200793E0
2.017469458E0,-1.503024445E0,1.726060638E0,9.194030914E0,9.474627817E0
2.027459458E0,-1.413061523E0,1.640738068E0,8.968899078E0,9.226587395E0
2.037449458E0,-1.394350433E0,1.749112701E0,8.919501801E0,9.195712085E0
2.047440458E0,-1.380279694E0,1.889820099E0,9.085356903E0,9.381913563E0
2.057430458E0,-1.419498138E0,2.037413177E0,9.253307648E0,9.580695687E0
2.067420458E0,-1.221160583E0,2.002685394E0,9.350156250E0,9.639886092E0
2.077410458E0,-1.048270111E0,1.975292358E0,9.577383728E0,9.834984962E0
2.087400458E0,-7.882608032E-1,1.890568542E0,9.859397278E0,1.006992151E1
2.097390458E0,-6.255491638E-1,1.834884338E0,1.007704468E1,1.026181961E1
2.107380458E0,-5.837860107E-1,1.806443481E0,1.026595184E1,1.044001012E1
2.117371458E0,-5.536985779E-1,1.928140411E0,1.049003586E1,1.068012921E1
2.127361458E0,-4.611909485E-1,2.285896454E0,1.061906754E1,1.087210260E1
2.137351458E0,-3.412902832E-1,2.549797668E0,1.067460205E1,1.098021294E1
2.147341458E0,-8.876541138E-2,2.714305573E0,1.111423782E1,1.144122443E1
2.157331458E0,5.074447632E-1,2.927612000E0,1.177511353E1,1.214420482E1
2.167321458E0,1.105151825E0,3.609743500E0,1.183154617E1,1.241922274E1
2.177311458E0,1.224004669E0,4.204756165E0,1.137739059E1,1.219111064E1
2.187301458E0,1.209634552E0,4.030817871E0,1.056772430E1,1.137486288E1
2.197292458E0,9.891430664E-1,3.490441589E0,9.760003967E0,1.041245715E1
2.207282458E0,3.362008667E-1,2.914589081E0,9.423054657E0,9.869236019E0
2.217272458E0,-1.666035461E-1,2.630030823E0,9.145232391E0,9.517357530E0
2.227262458E0,-2.191442871E-1,2.694546661E0,8.782536621E0,9.189208640E0
2.237252458E0,-1.199006653E-1,2.674039307E0,8.579708405E0,8.987561332E0
2.247242458E0,-3.427871704E-2,2.557282104E0,8.668922882E0,9.038312383E0
2.257232458E0,-8.891510010E-2,2.555635529E0,8.872948608E0,9.234088794E0
2.267223458E0,-7.698490906E-1,2.372865601E0,5.663472748E0,6.188544445E0
2.277213458E0,-2.996319122E0,3.736978912E0,7.194039917E-1,4.843602149E0
2.287203458E0,-3.594624939E0,3.160527649E0,4.608915710E0,6.644724787E0
2.297193458E0,-4.324507141E0,3.196303253E0,6.902595978E0,8.750059870E0
2.307183458E0,-5.267845459E0,3.913611603E0,6.729555817E0,9.399652815E0
2.317173458E0,-4.794679413E0,3.977079620E0,7.399562531E0,9.672623151E0
2.327163458E0,-3.957021332E0,4.189936981E0,8.543034668E0,1.030519437E1
2.337153458E0,-2.959346008E0,4.845573578E0,9.497300262E0,1.106508131E1
2.347144458E0,-2.738854523E0,4.795128479E0,9.561217346E0,1.104135220E1
2.357134458E0,-2.451751556E0,4.271068268E0,8.936865692E0,1.020395405E1
2.367124458E0,-1.949695587E0,3.647015991E0,8.433761902E0,9.393102700E0
2.377114458E0,-1.701062622E0,3.059936829E0,8.460256805E0,9.156023845E0
2.387104458E0,-1.547182617E0,2.717449036E0,8.892108765E0,9.425916486E0
2.397094458E0,-1.269510040E0,2.758463745E0,9.288933563E0,9.772669273E0
2.407084458E0,-1.126557312E0,2.974314880E0,9.721533966E0,1.022858265E1
2.417075458E0,-1.062939606E0,3.366499329E0,1.050096313E1,1.107851006E1
2.427065458E0,-1.218017120E0,3.800446930E0,1.246023880E1,1.308374998E1
2.437055458E0,-1.616638184E0,3.539539490E0,1.164323776E1,1.227627160E1
2.447045458E0,-1.518741760E0,3.579057312E0,1.198198334E1,1.259698982E1
