"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.569283335E-2,-1.988165588E0,3.820804596E0,8.414002991E0,9.452343439E0
2.568483341E-2,-2.118245087E0,3.859124908E0,8.557404785E0,9.623356169E0
3.567583335E-2,-2.112107849E0,3.841162262E0,8.574768677E0,9.630274396E0
4.566683341E-2,-2.001936951E0,3.875590668E0,8.628057861E0,9.668057563E0
5.565783335E-2,-1.976340179E0,3.875740356E0,8.826545105E0,9.840486894E0
6.564883341E-2,-1.959874420E0,3.825894012E0,9.062155151E0,1.003001639E1
7.563983335E-2,-1.872605896E0,3.827091522E0,9.211993561E0,1.014958658E1
8.563083340E-2,-1.581012268E0,3.847598877E0,9.105564880E0,1.001074067E1
9.562283335E-2,-1.388213196E0,3.823798370E0,8.808732147E0,9.702697145E0
1.056138334E-1,-1.455872498E0,3.860023041E0,8.581953735E0,9.522041405E0
1.156048334E-1,-1.549577637E0,3.888463898E0,8.422235870E0,9.405073067E0
1.255958334E-1,-1.583407288E0,3.898792419E0,8.351582794E0,9.351828492E0
1.355868333E-1,-1.661395111E0,3.840264130E0,8.542884979E0,9.512557283E0
1.455778334E-1,-1.913770294E0,3.741170197E0,8.869056702E0,9.814226304E0
1.555698334E-1,-2.229763184E0,3.776047668E0,9.196276245E0,1.018832060E1
1.655608334E-1,-1.939067688E0,3.769910431E0,9.258995819E0,1.018337919E1
1.755518334E-1,-1.470841370E0,3.532653809E0,9.063652039E0,9.838333474E0
1.855428334E-1,-1.188378754E0,3.381019135E0,8.796457672E0,9.498484196E0
1.955338334E-1,-1.202748871E0,3.430117035E0,8.628955994E0,9.363289447E0
2.055248334E-1,-1.435664520E0,3.523971863E0,8.553662567E0,9.361872335E0
2.155168334E-1,-1.632804565E0,3.563190308E0,8.623716888E0,9.472637906E0
2.255078334E-1,-1.495989075E0,3.551813965E0,8.757089539E0,9.567652948E0
2.354988334E-1,-1.082249451E0,3.442990265E0,8.965156860E0,9.664340814E0
2.454898334E-1,-7.912545776E-1,3.319497070E0,9.089099121E0,9.708597604E0
2.554808334E-1,-6.737489319E-1,3.302881622E0,9.072783051E0,9.678758026E0
2.654718334E-1,-7.822732544E-1,3.421584778E0,8.870403900E0,9.539562841E0
2.754628333E-1,-1.212628326E0,3.578608246E0,8.420738983E0,9.229612639E0
2.854548334E-1,-1.381327515E0,3.647764435E0,8.014783173E0,8.913529064E0
2.954458334E-1,-1.191821594E0,3.586541748E0,7.972570953E0,8.823015813E0
3.054368334E-1,-7.231462097E-1,3.199596405E0,8.109087067E0,8.747436805E0
3.154278334E-1,-1.386117554E-1,2.571801910E0,8.270451508E0,8.662202169E0
3.254188334E-1,1.639091492E-1,1.919458466E0,7.991282043E0,8.220205332E0
3.354098334E-1,6.092330933E-1,2.279310150E0,7.404202881E0,7.771012806E0
3.454018334E-1,-2.746788025E-1,2.039957886E0,7.292535095E0,7.577462948E0
3.553928334E-1,-1.974244537E0,2.472707977E0,8.142018585E0,8.735238570E0
3.653838334E-1,-2.012265472E0,4.207001495E0,9.272767181E0,1.037941641E1
3.753748334E-1,-1.171463928E0,4.649181976E0,9.735754395E0,1.085228706E1
3.853658334E-1,-1.326092377E0,4.189188538E0,1.028556107E1,1.118483742E1
3.953568334E-1,2.721340942E-1,3.808530121E0,1.003632935E1,1.073810344E1
4.053488334E-1,7.933502197E-1,2.884202271E0,9.379046173E0,9.844517988E0
4.153398334E-1,9.014254761E-1,1.941462708E0,8.882678375E0,9.136948093E0
4.253308334E-1,-7.036866760E-1,3.833528137E-1,9.182205505E0,9.217105417E0
4.353218334E-1,-3.248394928E0,-7.801776123E-1,9.028325500E0,9.626598987E0
