"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.887208316E-3,-2.327809296E0,2.385289764E0,8.358767853E0,8.998738989E0
1.187820826E-2,-2.464475098E0,2.544708252E0,8.472980347E0,9.183712406E0
2.186820831E-2,-2.598147125E0,2.577789459E0,8.861123199E0,9.587224381E0
3.185920825E-2,-2.510728912E0,2.533182220E0,9.146429901E0,9.817227295E0
4.185020830E-2,-2.337089996E0,2.377505951E0,9.255253601E0,9.837390071E0
5.184120825E-2,-2.299518127E0,2.198328552E0,9.242080994E0,9.774277116E0
6.183220830E-2,-2.260449371E0,2.073039093E0,9.236692200E0,9.732605264E0
7.182320824E-2,-2.195783844E0,2.037263489E0,9.231602783E0,9.705379908E0
8.181420830E-2,-2.158511353E0,2.086062012E0,9.266330566E0,9.740416220E0
9.180520824E-2,-2.206411743E0,2.149380341E0,9.283694458E0,9.781363474E0
1.017962083E-1,-2.244582367E0,2.230811005E0,9.202263794E0,9.731203763E0
1.117872082E-1,-2.221230927E0,2.299218750E0,9.133706360E0,9.677027723E0
1.217772083E-1,-2.231858826E0,2.355202332E0,9.123677216E0,9.683473435E0
1.317682082E-1,-2.314936066E0,2.328557739E0,9.182355194E0,9.751756613E0
1.417592083E-1,-2.398013306E0,2.301015015E0,9.255403290E0,9.834003659E0
1.517502083E-1,-2.393822021E0,2.298619995E0,9.289981384E0,9.864978047E0
1.617412083E-1,-2.388283539E0,2.301015015E0,9.373807068E0,9.943179939E0
1.717322083E-1,-2.388732605E0,2.277214508E0,9.419462128E0,9.980882534E0
1.817232083E-1,-2.354753265E0,2.239792328E0,9.400601349E0,9.946498798E0
1.917142083E-1,-2.299368439E0,2.255210266E0,9.343270569E0,9.882801905E0
2.017052083E-1,-2.210303650E0,2.303859100E0,9.256451111E0,9.791582923E0
2.116962083E-1,-2.222578125E0,2.306703186E0,9.263336792E0,9.801537718E0
2.216872083E-1,-2.300715637E0,2.250270538E0,9.348060608E0,9.886518450E0
2.316772083E-1,-2.345622253E0,2.244881744E0,9.344168701E0,9.892164906E0
2.416682083E-1,-2.285148010E0,2.303559723E0,9.263187103E0,9.815035616E0
2.516592083E-1,-2.137854309E0,2.351759491E0,9.215735779E0,9.748383440E0
2.616502083E-1,-2.106419678E0,2.341430969E0,9.191336517E0,9.715964688E0
2.716412083E-1,-2.200124817E0,2.280507660E0,9.244775391E0,9.772775267E0
