"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.578208329E-3,4.334087219E0,8.740773468E0,1.996847534E-1,9.758345497E0
1.350820833E-2,4.523293762E0,8.718469849E0,1.175056458E-1,9.822714011E0
2.343920832E-2,4.430935822E0,8.836873627E0,1.781295776E-2,9.885537165E0
3.336920832E-2,4.517904968E0,8.834478607E0,-1.384620667E-1,9.923640930E0
4.330020833E-2,4.614454193E0,8.893755341E0,-2.398013306E-1,1.002245360E1
5.323020833E-2,4.656217346E0,8.940009155E0,-4.490661621E-3,1.007988809E1
6.316020833E-2,4.562961273E0,8.923842773E0,8.547225952E-2,1.002311782E1
7.309120832E-2,4.338727570E0,8.882079620E0,5.628295898E-2,9.885295295E0
8.302120832E-2,4.435725861E0,8.894054718E0,1.130149841E-1,9.939448960E0
9.295220833E-2,4.537813568E0,8.844058685E0,5.628295898E-2,9.940437303E0
1.028822083E-1,4.418212280E0,8.914711761E0,1.582209778E-1,9.950764766E0
1.128132083E-1,4.283941498E0,8.821306000E0,4.041595459E-2,9.806591036E0
1.227432083E-1,4.144281921E0,8.718320160E0,7.244934082E-2,9.653467147E0
1.326732083E-1,4.196223907E0,8.735085297E0,2.278262329E-1,9.693395433E0
1.426042083E-1,4.091591492E0,8.704099731E0,2.460882568E-1,9.620968376E0
1.525342083E-1,4.055366821E0,8.607400818E0,1.737886047E-1,9.516488395E0
1.624652083E-1,4.111949158E0,8.529712372E0,8.741821289E-2,9.469517462E0
1.723952083E-1,3.914360046E0,8.553213501E0,-4.191284180E-3,9.406364512E0
1.823262083E-1,3.982318726E0,8.679550781E0,1.890568542E-1,9.551398154E0
1.922562083E-1,4.053420868E0,8.798852692E0,2.426454163E-1,9.690660773E0
2.021862083E-1,4.183650055E0,8.871302032E0,6.975494385E-2,9.808557146E0
2.121172083E-1,4.436174927E0,8.853489075E0,1.190025330E-1,9.903437705E0
2.220472083E-1,4.171375580E0,9.062155151E0,3.779640198E-1,9.983280373E0
2.319782083E-1,3.899540863E0,8.967102814E0,2.933898926E-1,9.782710741E0
2.419082083E-1,3.842659149E0,8.741671600E0,6.646179199E-2,9.549202526E0
2.518382083E-1,3.509452057E0,8.634045410E0,-3.448828125E-1,9.326410780E0
2.617692083E-1,3.512296143E0,8.725505219E0,2.634521484E-1,9.409573452E0
2.716992083E-1,3.486250305E0,8.823401642E0,5.902226257E-1,9.505510006E0
2.816302083E-1,3.331023102E0,9.009614410E0,4.737648010E-1,9.617344738E0
2.915602083E-1,3.240162048E0,9.276509399E0,6.418652344E-1,9.847043603E0
3.014912083E-1,3.221450958E0,9.483379211E0,9.568103027E-1,1.006119841E1
3.114212083E-1,2.883453827E0,9.410780182E0,6.804849243E-1,9.866111156E0
3.213512083E-1,3.030897217E0,9.360185394E0,4.830455017E-1,9.850519860E0
3.312822083E-1,3.364703064E0,9.263187103E0,6.249504089E-1,9.875141773E0
3.412122083E-1,3.551963654E0,9.211095428E0,7.503895569E-1,9.900697414E0
3.511432083E-1,4.276157684E0,8.962462463E0,9.385482788E-1,9.974574217E0
3.610732083E-1,7.170389099E0,7.979007568E0,6.619235229E-1,1.074789209E1
3.710042083E-1,4.935835876E0,8.317902832E0,-1.701212311E0,9.820596043E0
3.809342083E-1,1.810634766E0,9.153614960E0,-2.320773926E0,9.615251255E0
3.908642083E-1,1.891766052E0,9.478140106E0,-6.038442993E-1,9.683932394E0
4.007952083E-1,2.599194946E0,9.735754395E0,1.439556427E0,1.017904960E1
4.107252083E-1,3.494034119E0,9.628427582E0,2.016756134E0,1.043945389E1
4.206562083E-1,3.374732208E0,9.719737701E0,1.479373627E0,1.039474217E1
4.305862083E-1,2.910248108E0,9.673334198E0,7.207511902E-1,1.012731064E1
4.405162083E-1,2.574945374E0,9.410031738E0,2.544708252E-1,9.759292822E0
4.504472083E-1,2.219584351E0,9.193282471E0,4.805007935E-1,9.469629258E0
4.603772083E-1,2.084714813E0,8.745563507E0,7.909552002E-1,9.025326977E0
4.703082083E-1,2.524799652E0,8.216264191E0,5.710624695E-1,8.614390453E0
4.802382083E-1,2.727478180E0,7.403903503E0,4.924758911E-1,7.905659796E0
4.901692083E-1,5.446274414E0,5.064268799E0,4.008663940E-1,7.447779355E0
5.000992083E-1,6.687193909E0,4.503085785E0,-1.630858612E0,8.225329402E0
5.100292083E-1,3.576961670E0,5.521717529E0,-6.137237549E-2,6.579345395E0
5.199602083E-1,5.393134918E0,2.569257202E0,2.405797119E0,6.440096785E0
5.298902083E-1,5.713169403E0,2.740351410E0,3.074306946E0,7.042811489E0
5.398212083E-1,2.197280731E0,3.083437958E0,4.521647186E0,5.897535547E0
5.497512083E-1,-6.961872711E0,9.645791473E0,2.550695801E-1,1.189848836E1
5.596822083E-1,-8.470585327E0,9.612410889E0,-3.192411346E0,1.320381570E1
5.696122083E-1,-1.552571411E0,4.871020660E0,-1.918111267E0,5.460446053E0
