"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.279583325E-4,5.332810364E0,7.108417969E0,6.264472961E-1,8.908473978E0
1.025895833E-2,5.743556213E0,7.239096222E0,1.238823853E0,9.323499162E0
2.018895833E-2,5.915249176E0,7.469167786E0,1.687141571E0,9.676005731E0
3.011895833E-2,5.690566406E0,7.423063660E0,1.707349548E0,9.507863198E0
4.004895833E-2,5.835165710E0,7.241042175E0,1.614243164E0,9.438624457E0
4.997895833E-2,5.774092712E0,7.297923889E0,1.796114960E0,9.477651011E0
5.990995833E-2,5.577850800E0,7.680977325E0,2.120490417E0,9.726577601E0
6.983995833E-2,5.551954651E0,7.955207062E0,2.320175171E0,9.974604386E0
7.976995833E-2,5.560486908E0,8.020171967E0,2.641407166E0,1.011035137E1
8.969995833E-2,5.732778625E0,8.077353058E0,2.438578949E0,1.020073774E1
9.962995833E-2,5.820795593E0,7.825277252E0,2.045945435E0,9.965064884E0
1.095599583E-1,5.745651855E0,7.532785492E0,1.876048737E0,9.657894769E0
1.194909583E-1,5.758225708E0,7.521708527E0,1.578168182E0,9.603326365E0
1.294209583E-1,5.611081696E0,7.572902069E0,1.357676697E0,9.522414061E0
1.393509583E-1,5.426365814E0,7.571554871E0,1.324146423E0,9.408892223E0
1.492809583E-1,5.299280090E0,7.536378021E0,1.301842804E0,9.304523515E0
1.592109583E-1,5.179080048E0,7.218738556E0,1.023421783E0,8.943178888E0
1.691409583E-1,5.119803314E0,7.115153961E0,1.102457428E0,8.834773016E0
1.790719583E-1,5.251679077E0,7.175628204E0,1.473236389E0,9.013334495E0
1.890019583E-1,5.628295898E0,7.540718994E0,1.530866547E0,9.533294816E0
1.989319583E-1,5.830824738E0,8.340954895E0,1.451381836E0,1.027991026E1
2.088619583E-1,5.453160095E0,7.829618225E0,1.666634216E0,9.685945807E0
2.187919583E-1,5.027145996E0,7.562723236E0,1.331181793E0,9.178181987E0
2.287229583E-1,4.440964966E0,7.288194122E0,1.316212921E0,8.635528927E0
2.386529583E-1,4.944667511E0,7.663014679E0,6.752458191E-1,9.144806596E0
2.485829583E-1,4.964576111E0,7.634424133E0,2.986289978E-1,9.111565567E0
2.585129583E-1,4.729864197E0,7.955805817E0,3.297642517E-1,9.261490483E0
2.684429583E-1,5.111271057E0,8.799152069E0,-4.602928162E-1,1.018636532E1
2.783729583E-1,5.329367523E0,9.252708893E0,-8.967851257E-1,1.071536297E1
2.883039583E-1,7.065756683E0,9.607022095E0,-6.996450806E-1,1.194609954E1
2.982339583E-1,1.052925430E1,7.194938049E0,1.517095184E0,1.284265967E1
3.081639583E-1,1.057685532E1,7.087162170E0,2.882855072E0,1.305406409E1
3.180939583E-1,9.689949646E0,8.568182373E0,3.208577728E0,1.332680923E1
3.280239583E-1,9.038055267E0,9.329050140E0,3.161425781E0,1.336832946E1
3.379549583E-1,8.597970428E0,8.803942108E0,2.455942841E0,1.254855160E1
3.478849583E-1,6.702761536E0,8.494385834E0,1.033899994E0,1.086970800E1
3.578149583E-1,4.636458435E0,8.755442963E0,-1.702260132E0,1.005247322E1
3.677449583E-1,-1.573228455E-1,9.316027222E0,-2.719844055E0,9.706217871E0
3.776749583E-1,-4.929698639E0,7.183412018E0,-7.679031372E-1,8.746028362E0
