"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.238208337E-3,6.022725677E0,7.274422760E0,1.158141632E0,9.514817030E0
8.691791663E-3,6.134393463E0,7.352260895E0,1.198258209E0,9.649992029E0
1.862279166E-2,6.166726227E0,7.488627319E0,1.235680389E0,9.779312732E0
2.855379166E-2,6.263874207E0,7.718100128E0,1.146016846E0,1.000592546E1
3.848479166E-2,6.459367676E0,7.714657288E0,1.105301514E0,1.012230504E1
4.841479166E-2,6.166277161E0,7.928263092E0,1.022224274E0,1.009580468E1
5.834579167E-2,6.148913269E0,7.910300446E0,8.771759033E-1,1.005740648E1
6.827679166E-2,6.263724518E0,7.910150757E0,9.343569946E-1,1.013300315E1
7.820779167E-2,6.018534393E0,8.019722900E0,1.058448944E0,1.008261007E1
8.813779167E-2,5.925128632E0,8.048163757E0,1.135089569E0,1.005825619E1
9.806879166E-2,5.972280579E0,8.082442474E0,1.155147858E0,1.011574902E1
1.079997917E-1,5.729186096E0,7.977211304E0,1.125659180E0,9.885675601E0
1.179307917E-1,5.564378815E0,7.889942780E0,1.100361786E0,9.717216922E0
1.278607917E-1,5.655539246E0,7.734116821E0,1.103804626E0,9.644691380E0
1.377917917E-1,5.417983246E0,7.627388763E0,1.004561005E0,9.409609164E0
1.477222917E-1,5.306914215E0,7.769593048E0,1.092577972E0,9.472256397E0
1.576532917E-1,5.242248688E0,7.685318298E0,1.186283112E0,9.378302420E0
1.675832917E-1,5.556595001E0,7.627688141E0,1.178199921E0,9.510285455E0
1.775142917E-1,5.633684692E0,7.608677673E0,1.100661163E0,9.531098265E0
1.874452917E-1,5.913153534E0,7.451803894E0,1.032253418E0,9.568715332E0
1.973762917E-1,5.836363220E0,7.491621094E0,1.069825287E0,9.556780232E0
2.073062917E-1,5.691763916E0,7.620802460E0,1.100661163E0,9.575189899E0
2.172372917E-1,5.679190063E0,7.489675140E0,1.146914978E0,9.469099611E0
2.271682917E-1,5.625002747E0,7.447762299E0,1.195563812E0,9.409526661E0
2.370982917E-1,5.770500183E0,7.437583466E0,1.226998444E0,9.493252622E0
2.470292917E-1,5.945336609E0,7.377857666E0,1.331481171E0,9.568315068E0
2.569602917E-1,6.104306030E0,7.377408600E0,1.422940979E0,9.680571821E0
2.668912917E-1,6.171815643E0,7.325915680E0,1.369202728E0,9.676521327E0
2.768212917E-1,6.325545959E0,7.104825439E0,1.370699615E0,9.610925743E0
2.867522917E-1,6.252048798E0,6.936126251E0,1.310674438E0,9.429519024E0
2.966832917E-1,6.538253632E0,6.564299469E0,1.225950623E0,9.345680446E0
3.066142917E-1,6.872508545E0,6.089636536E0,9.972262573E-1,9.236314581E0
3.165442917E-1,7.508835297E0,5.492079163E0,6.095324707E-1,9.322932525E0
3.264752917E-1,6.724017334E0,5.706732788E0,8.791218567E-1,8.862960197E0
3.364062917E-1,4.628973999E0,6.324049072E0,1.053359528E0,7.907626904E0
3.463372917E-1,5.132975922E0,8.530760193E0,2.928210754E0,1.037765530E1
3.562672917E-1,5.579347687E0,9.566007385E0,4.455634460E0,1.193692994E1
3.661982917E-1,3.639531555E0,1.111648315E1,3.864962769E0,1.231910406E1
3.761292917E-1,1.908231812E0,1.047611481E1,2.059567108E0,1.084583546E1
3.860602917E-1,1.778302002E-1,1.092667786E1,-3.838018799E-1,1.093486243E1
3.959902917E-1,-7.620652771E-1,1.248897903E1,-9.220825195E-2,1.251254743E1
4.059212917E-1,-1.807790680E0,1.267638931E1,1.047970734E0,1.284745873E1
4.158522917E-1,-1.462458801E-1,1.079734680E1,-4.258644104E-1,1.080673153E1
4.257832917E-1,4.559817810E0,6.385870514E0,-2.065105591E0,8.113935037E0
4.357132917E-1,3.763922882E0,4.503085785E0,6.945556641E-2,5.869388480E0
4.456442917E-1,2.736609192E0,4.582720184E0,2.135010223E0,5.748793161E0
4.555752917E-1,3.361858978E0,4.462220764E0,4.351750488E0,7.081754179E0
4.655062917E-1,2.065854034E0,3.459156647E0,5.248535614E0,6.616694317E0
4.754362917E-1,8.250842285E-1,3.037034454E0,4.180656281E0,5.232803187E0
4.853672917E-1,1.805245972E-1,6.772366791E0,1.893412628E0,7.034383588E0
4.952982917E-1,2.946023712E0,7.641160126E0,7.680528259E-1,8.225344304E0
5.052282917E-1,-1.050814819E-1,5.411846008E0,3.944297791E-1,5.427217905E0
5.151592917E-1,-1.209484863E0,3.735931091E0,-1.325343933E0,4.144462727E0
5.250902917E-1,-3.686833191E0,2.460433502E0,-2.735561371E0,5.208624388E0
5.350212917E-1,-1.206042023E0,3.467090149E0,-2.420466614E0,4.397034238E0
5.449512917E-1,1.384470978E0,5.802084503E0,-3.415447540E0,6.873589046E0
5.548822917E-1,2.562072144E0,6.252647552E0,-2.188598785E0,7.102800837E0
5.648132917E-1,2.722987518E0,6.814129944E0,-3.702251129E0,8.219105264E0
5.747442917E-1,7.098239136E-1,8.971144409E0,-4.785398712E0,1.019241497E1
5.846742917E-1,2.185605011E0,9.267977142E0,-7.109166412E0,1.188328728E1
5.946052917E-1,2.555036774E0,1.457339447E1,-7.782915344E0,1.671782912E1
6.045362917E-1,1.613494720E0,1.496677643E1,-5.189258881E0,1.592281915E1
6.144672917E-1,2.529739380E-2,2.221515335E1,-7.116351471E0,2.332715449E1
6.243972917E-1,7.106472015E0,2.622860733E1,-3.926185455E0,2.745645132E1
6.343282917E-1,6.750362549E0,2.808100525E1,-1.438358917E0,2.891676204E1
6.442592917E-1,-2.622845764E0,2.912837723E1,-3.723207550E0,2.948226508E1
6.541902917E-1,-1.126482468E1,3.412932770E1,-5.885760498E0,3.641908100E1
6.641202917E-1,-3.768263855E0,1.906914551E1,-5.204527130E0,2.012260484E1
6.740512917E-1,-3.692820740E-1,7.342231750E0,-4.835394745E0,8.799191933E0
6.839822917E-1,-3.833677826E0,1.139400604E1,-3.099903717E0,1.241490485E1
6.939132917E-1,-1.115180969E0,1.144250519E1,-2.146835632E0,1.169544599E1
7.038432917E-1,1.903741150E0,1.044497955E1,-1.604812775E0,1.073765581E1
7.137742917E-1,5.407205658E0,9.524693298E0,-1.592538300E0,1.106769324E1
7.237052917E-1,8.012388153E0,8.224497070E0,-1.939367065E0,1.164482119E1
7.336362917E-1,9.714199219E0,5.141807556E0,-1.951192474E0,1.116292988E1
7.435662917E-1,1.040950333E1,2.439028015E0,-2.260898438E0,1.092786708E1
7.534972917E-1,1.113609238E1,4.802014160E-1,-2.041305084E0,1.133181686E1
7.634282917E-1,1.127500351E1,-2.869682465E0,-1.863175507E0,1.178270786E1
7.733592917E-1,1.303788757E1,-9.003477173E0,-3.112627258E0,1.614737013E1
7.832892917E-1,6.866071930E0,-1.199560501E1,-2.300116882E0,1.401171014E1
7.932202917E-1,1.370100861E0,-7.827522583E0,-1.121168518E0,8.025229280E0
8.031512917E-1,-9.687854004E-1,-4.024980011E0,-4.953499146E0,6.455707787E0
8.130812917E-1,1.094523926E0,-1.842668152E-1,-6.349196777E0,6.445481875E0
8.230122917E-1,4.816384277E0,3.343297577E0,-5.877078552E0,8.301520855E0
8.329432917E-1,7.916587372E0,8.929530945E0,-5.857619019E0,1.329362927E1
8.428742917E-1,1.158246414E1,1.706750793E1,-7.870034180E0,2.207692779E1
8.528042917E-1,1.568303696E1,2.346280884E1,-8.507109375E0,2.947595557E1
8.627352917E-1,1.575997696E1,2.167223236E1,-6.523584137E0,2.757933428E1
8.726662917E-1,1.117890335E1,1.636367157E1,-4.921166382E0,2.041948839E1
8.825972917E-1,7.326963501E0,1.303968384E1,-5.460045776E0,1.592262066E1
8.925272917E-1,5.431904297E0,1.131257538E1,-6.680008850E0,1.421627463E1
9.024582917E-1,4.566853180E0,1.057011932E1,-6.730903015E0,1.333748949E1
9.123892917E-1,4.469106445E0,1.030741562E1,-6.110592957E0,1.278886529E1
9.223202917E-1,4.462669830E0,1.016925293E1,-5.466781769E0,1.237799782E1
9.322502917E-1,4.552333374E0,1.004860382E1,-5.079836426E0,1.214507785E1
9.421812917E-1,4.553081818E0,9.821675720E0,-4.846920776E0,1.186121870E1
9.521122917E-1,4.300407257E0,9.490414581E0,-4.763244781E0,1.145643803E1
9.620432917E-1,4.071084137E0,9.049880676E0,-4.675078125E0,1.096952240E1
9.719732917E-1,3.489693146E0,8.947343903E0,-4.400848389E0,1.056410847E1
9.819042917E-1,3.482957153E0,8.402626648E0,-3.810775452E0,9.861903197E0
9.918352917E-1,3.035387878E0,7.713759155E0,-2.908900909E0,8.785064848E0
1.001766292E0,2.574945374E0,7.314838715E0,-2.247276764E0,8.073875275E0
1.011696292E0,2.777923279E0,6.902895355E0,-1.915267181E0,7.683428298E0
1.021627292E0,3.263064423E0,6.529721375E0,-1.586550751E0,7.470073222E0
