"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.755499998E-3,4.483177185E0,8.477171631E0,3.381168823E0,1.016826530E1
1.268649999E-2,4.596491547E0,8.640781403E0,3.628155212E0,1.043811995E1
2.261750000E-2,4.929698639E0,8.487649841E0,3.542682953E0,1.043516799E1
3.254816667E-2,5.130580902E0,8.316405945E0,3.182681580E0,1.027691249E1
4.247816667E-2,5.094206543E0,8.274343414E0,2.981350250E0,1.016386484E1
5.240916666E-2,4.954247589E0,8.288563843E0,3.056344299E0,1.012847966E1
6.234016667E-2,4.985233154E0,8.602760468E0,3.328328705E0,1.048512323E1
7.227116666E-2,5.008883972E0,8.810378723E0,3.448079681E0,1.070518311E1
8.220216667E-2,5.175337830E0,8.867709503E0,3.371439056E0,1.080680317E1
9.213216667E-2,5.419031067E0,8.950038300E0,3.334465942E0,1.098124521E1
1.020631667E-1,5.438041534E0,9.053323517E0,3.323089600E0,1.107148982E1
1.119941667E-1,5.383105774E0,9.087602234E0,3.203039246E0,1.103729145E1
1.219241667E-1,5.202431488E0,8.924291840E0,2.877915344E0,1.072337050E1
1.318551667E-1,4.882696381E0,8.906478882E0,2.444416809E0,1.044706962E1
1.417861667E-1,6.035299530E0,8.458161163E0,2.889890442E0,1.078502654E1
1.517171667E-1,5.178630981E0,8.781189423E0,3.054398346E0,1.064222043E1
1.616481667E-1,3.595822449E0,9.313183136E0,2.862796783E0,1.038561142E1
1.715781667E-1,3.784579926E0,8.702004089E0,2.563868408E0,9.829615537E0
1.815091667E-1,4.188290405E0,7.418722687E0,2.425256653E0,8.857826633E0
1.914401667E-1,1.182241516E0,8.601712646E0,2.165247345E0,8.948488784E0
2.013711667E-1,-8.586145020E-1,9.889933777E0,1.823058929E0,1.009314385E1
2.113011667E-1,-1.019829254E0,1.039483383E1,3.457659760E0,1.100218311E1
2.212321667E-1,2.262844391E0,9.379495239E0,4.510719910E0,1.065091497E1
2.311631667E-1,3.187621307E0,8.997339935E0,3.089126129E0,1.003273421E1
2.410941667E-1,3.156785431E0,8.932375031E0,2.663411407E0,9.841055750E0
2.510241667E-1,2.982996826E0,8.913514252E0,3.120560760E0,9.903883372E0
2.609551667E-1,2.564467163E0,8.896749115E0,2.128573608E0,9.500498000E0
2.708861667E-1,2.783611450E0,8.559350739E0,1.736389160E0,9.166571065E0
2.808171667E-1,3.265010376E0,8.337661743E0,2.938539276E0,9.424007066E0
2.907471667E-1,3.404370575E0,8.717871094E0,3.407364349E0,9.959977270E0
3.006781667E-1,3.496429138E0,9.041797485E0,3.727099457E0,1.038606705E1
3.106091667E-1,4.062102814E0,7.596103821E0,3.629951477E0,9.347621101E0
3.205401667E-1,3.441942444E0,7.541766815E0,2.445015564E0,8.643107982E0
3.304701667E-1,3.879931641E0,8.270002441E0,2.464325409E0,9.461485594E0
3.404011667E-1,3.861070862E0,8.343200226E0,2.766097870E0,9.600424763E0
3.503321667E-1,2.887794800E0,8.575816498E0,2.653232574E0,9.429932688E0
3.602631667E-1,2.164648590E0,8.809181213E0,2.576891327E0,9.430150904E0
3.701931667E-1,1.368304596E0,9.466015320E0,2.449206848E0,9.873009556E0
3.801241667E-1,1.060095520E0,9.491163025E0,2.581082611E0,9.892823941E0
3.900551667E-1,1.518741760E0,8.402327271E0,2.902164917E0,9.018217191E0
3.999861667E-1,1.501377869E0,7.164700928E0,2.600542145E0,7.768519443E0
4.099161667E-1,1.073417816E0,6.211483154E0,1.844015350E0,6.567734876E0
4.198471667E-1,9.377998352E-1,4.954696655E0,1.470841370E0,5.252795619E0
4.297781667E-1,1.722767487E0,3.678300934E0,1.357826385E0,4.282699857E0
4.397091667E-1,3.057392120E0,2.803819427E0,9.797126770E-1,4.262497729E0
4.496391667E-1,2.490221558E0,3.230432281E0,1.976789246E0,4.532614240E0
4.595701667E-1,3.193159790E0,3.187321930E0,2.746488647E0,5.281902159E0
4.695011667E-1,4.866380310E0,3.334915009E0,1.414857788E0,6.066723827E0
4.794321667E-1,5.756878510E0,4.762496338E0,1.586550751E0,7.638073371E0
4.893621667E-1,4.658612366E0,7.271428986E0,3.963308258E0,9.501797778E0
4.992931667E-1,3.809577942E0,8.438551941E0,4.867577820E0,1.046017958E1
5.092241667E-1,4.001329193E0,8.235873413E0,3.878584442E0,9.944026522E0
5.191551667E-1,3.476221161E0,7.556885376E0,1.854194183E0,8.522245374E0
5.290851667E-1,2.218686218E0,6.175707550E0,2.034718781E0,6.870372100E0
5.390161667E-1,6.878196716E-1,5.125641174E0,3.899241486E0,6.476833911E0
5.489471667E-1,-8.934919739E-1,3.859723663E0,3.821852417E0,5.504757085E0
5.588781667E-1,-3.553909607E0,2.469265137E0,1.260079651E0,4.507254656E0
5.688081667E-1,-4.966971130E0,2.060165863E0,8.738827515E-1,5.447821276E0
5.787391667E-1,-7.500003662E0,2.086211700E0,1.930984497E0,8.020663022E0
5.886701667E-1,-7.318431244E0,5.284311218E0,2.365530853E0,9.331619213E0
5.986011667E-1,-7.031328278E0,9.340875549E0,-4.104464722E0,1.239105177E1
6.085311667E-1,-7.593259735E0,1.139789795E1,-3.612288208E0,1.416397886E1
6.184621667E-1,-8.053552551E0,1.053673874E1,2.346221008E0,1.346801117E1
6.283931667E-1,-6.845863953E0,9.741891632E0,1.487456818E0,1.199928471E1
6.383241667E-1,-6.954987030E0,9.367520142E0,1.107397156E0,1.171958219E1
6.482541667E-1,-6.991511078E0,9.484127655E0,2.185904388E0,1.198365898E1
6.581851667E-1,-7.590265961E0,1.014425491E1,1.852697296E0,1.280431694E1
6.681161667E-1,-7.083569641E0,1.597807343E1,1.994452515E0,1.759129416E1
6.780471667E-1,-2.455344086E0,3.381408325E1,1.380878448E0,3.393122111E1
6.879781667E-1,-3.810027008E0,2.553494980E1,2.298320618E0,2.591972694E1
6.979081667E-1,-7.022346954E0,8.393944702E0,3.711831207E0,1.155635562E1
7.078391667E-1,-7.603139191E0,9.171727295E0,3.943998413E0,1.254924024E1
7.177701667E-1,-7.681127014E0,8.234975281E0,3.581751709E0,1.181708405E1
7.277011667E-1,-7.861202545E0,8.353379059E0,3.157533875E0,1.189737229E1
7.376311667E-1,-7.426356812E0,8.392747192E0,3.144061890E0,1.163933444E1
7.475621667E-1,-7.112758942E0,8.044870605E0,2.851570129E0,1.111047861E1
7.574931667E-1,-6.578220520E0,7.851472778E0,2.542762299E0,1.055387370E1
7.674241667E-1,-5.971831512E0,8.570128326E0,2.251917114E0,1.068555108E1
7.773541667E-1,-4.519401855E0,1.108834167E1,1.681902466E0,1.209153051E1
7.872851667E-1,-7.851173401E-1,1.409214523E1,6.364764404E-1,1.412834275E1
7.972161667E-1,4.290078735E-1,1.747406250E1,-6.665638733E-1,1.749203291E1
8.071471667E-1,-2.573897552E0,2.204331070E1,-1.475481720E0,2.224206693E1
8.170771667E-1,-3.531007233E0,2.221186020E1,-2.570155334E0,2.263714744E1
8.270081667E-1,-2.048639832E0,1.673250458E1,-3.800596619E0,1.728057202E1
8.369391667E-1,1.075663147E0,8.956325226E0,-4.317471771E0,1.000066874E1
8.468701667E-1,2.772833862E0,3.748954010E0,-4.600383453E0,6.550327604E0
8.568001667E-1,2.515668640E0,2.352208557E0,-5.079836426E0,6.137280498E0
8.667311667E-1,1.228495331E0,3.335064697E0,-4.544699249E0,5.769414925E0
8.766621667E-1,1.623224487E0,5.110672302E0,-2.749781799E0,6.026203536E0
8.865931667E-1,3.344046021E0,7.329059143E0,-1.575473785E0,8.208524189E0
8.965231667E-1,3.869303741E0,9.727671204E0,-1.750908966E0,1.061436671E1
9.064541667E-1,2.355202332E0,1.175221115E1,-2.586920471E0,1.226187598E1
9.163851667E-1,3.667373657E-1,1.260423935E1,-2.837200012E0,1.292482301E1
9.263161667E-1,-1.175655212E0,1.262280075E1,-2.596201172E0,1.294053803E1
9.362461667E-1,-1.007255402E0,1.135808075E1,-2.403701477E0,1.165325459E1
9.461771667E-1,-5.366340637E-1,9.797276459E0,-2.464475098E0,1.011673068E1
9.561081667E-1,-8.816665649E-2,8.770561523E0,-2.664758606E0,9.166867580E0
9.660391667E-1,6.737489319E-1,8.279283142E0,-2.608625336E0,8.706629262E0
9.759691667E-1,1.765728149E0,7.744744720E0,-2.956801300E0,8.475938922E0
9.859001667E-1,2.378404083E0,7.563920746E0,-2.840044098E0,8.422324709E0
9.958311667E-1,2.490970001E0,7.398065643E0,-2.815794525E0,8.298494178E0
1.005762167E0,2.454146576E0,7.282356262E0,-2.721939697E0,8.152576517E0
1.015692167E0,2.030078430E0,7.314689026E0,-2.129920807E0,7.884317131E0
1.025622917E0,2.010618896E0,7.543263702E0,-2.105072479E0,8.085465093E0
1.035553917E0,2.255060577E0,7.746091919E0,-2.335293732E0,8.398859151E0
1.045484917E0,2.320923615E0,8.228388977E0,-2.568508759E0,8.926942860E0
1.055414917E0,2.278711395E0,8.973090363E0,-2.666405182E0,9.634240648E0
1.065345917E0,1.938768311E0,9.838889923E0,-2.401007080E0,1.031151844E1
1.075276917E0,1.365310822E0,1.043599823E1,-1.843416595E0,1.068514471E1
1.085207917E0,9.108558655E-1,1.048823959E1,-1.147962799E0,1.059012024E1
1.095137917E0,5.553451538E-1,1.017419266E1,-5.948629761E-1,1.020668734E1
1.105068917E0,-9.131011963E-3,1.011521530E1,-7.035369873E-1,1.013965622E1
1.114999917E0,-9.026229858E-2,1.011356873E1,-7.325765991E-1,1.014046785E1
1.124930917E0,-6.077362061E-2,9.946965179E0,-8.599617004E-1,9.984254796E0
1.134860917E0,-6.825805664E-2,9.610015869E0,-1.028511200E0,9.665138357E0
1.144791917E0,4.073030090E-1,9.274563446E0,-1.064286804E0,9.344309994E0
1.154722917E0,7.107220459E-1,9.115144958E0,-1.304088135E0,9.235347276E0
1.164653917E0,1.133442993E0,9.336684265E0,-1.674418030E0,9.553116864E0
1.174583917E0,1.326541443E0,9.531578979E0,-1.945204926E0,9.818071717E0
1.184514917E0,1.468745728E0,9.371561737E0,-1.981429596E0,9.690688657E0
1.194445917E0,1.626667328E0,9.180858307E0,-2.097887421E0,9.556952311E0
1.204376917E0,1.152154083E0,8.733438721E0,-2.135159912E0,9.064177777E0
1.214306917E0,1.006806335E0,8.790021057E0,-2.030527496E0,9.077509080E0
1.224237917E0,7.012916565E-1,9.051527252E0,-1.800306244E0,9.255433980E0
1.234168917E0,3.179388428E-1,9.132957916E0,-1.642833710E0,9.284982930E0
1.244099917E0,-7.843688965E-2,9.051676941E0,-1.534309387E0,9.181128094E0
1.254029917E0,-3.839515686E-1,9.265282745E0,-1.231788483E0,9.354687917E0
1.263960917E0,-6.120771790E-1,9.573791199E0,-9.752220154E-1,9.642778353E0
1.273891917E0,-8.852590942E-1,9.858798523E0,-1.086291046E0,9.957892358E0
1.283822917E0,-1.002315674E0,1.019350250E1,-1.562301178E0,1.036112518E1
1.293752917E0,-1.275796967E0,1.098610428E1,-2.017055511E0,1.124235999E1
1.303683917E0,-1.512305145E0,1.124596390E1,-1.963766327E0,1.151586510E1
1.313614917E0,-1.328936462E0,1.096544724E1,-1.839824066E0,1.119785952E1
1.323545917E0,-6.670129395E-1,1.062894699E1,-1.986668701E0,1.083357157E1
1.333475917E0,3.906875610E-1,1.063209045E1,-1.607806549E0,1.076006627E1
1.343406917E0,1.983225861E0,1.059332108E1,-3.775149536E-1,1.078397671E1
1.353337917E0,3.269501038E0,1.046997757E1,5.248086548E-1,1.098114254E1
1.363268917E0,4.128115540E0,1.043839325E1,6.647676086E-1,1.124470131E1
1.373198917E0,4.407135315E0,1.066232758E1,2.076182556E-1,1.153911506E1
1.383129917E0,5.023852844E0,1.162752045E1,-8.780740356E-1,1.269682414E1
1.393060917E0,5.366340637E0,1.373364075E1,-2.358196106E0,1.493223322E1
1.402991917E0,5.288801880E0,1.574590622E1,-3.548670502E0,1.698523036E1
1.412921917E0,4.914280701E0,1.660407166E1,-3.943399658E0,1.775938488E1
1.422852917E0,4.121379547E0,1.618344635E1,-3.831282806E0,1.713383883E1
1.432783917E0,3.462300110E0,1.516930527E1,-3.812871094E0,1.601977935E1
1.442714917E0,2.810705109E0,1.410202469E1,-3.860921173E0,1.488871639E1
1.452644917E0,2.260299683E0,1.310988785E1,-3.558849335E0,1.377111189E1
1.462575917E0,1.668580170E0,1.182271454E1,-3.260070648E0,1.237694629E1
1.472506917E0,2.311193848E-1,1.034483780E1,-3.591331787E0,1.095293336E1
1.482437917E0,-9.966275024E-1,9.913883972E0,-3.265908508E0,1.048544325E1
1.492367917E0,-2.505938873E0,9.522447968E0,-2.740351410E0,1.022087427E1
1.502298917E0,-3.156036987E0,8.919501801E0,-2.633773041E0,9.821142615E0
1.512229917E0,-2.568957825E0,9.007069702E0,-2.673739929E0,9.740417554E0
1.522160917E0,-2.008373566E0,9.529782715E0,-2.620001678E0,1.008537217E1
1.532090917E0,-1.363963623E0,1.026146118E1,-2.618205414E0,1.067768617E1
1.542021917E0,-6.093827820E-1,1.095002930E1,-3.014281769E0,1.137367063E1
1.551952917E0,-3.168910217E-1,1.140493332E1,-3.443289642E0,1.191759907E1
1.561883917E0,2.959346008E-1,1.073762100E1,-3.642525330E0,1.134248971E1
1.571813917E0,1.114432526E0,9.799521790E0,-3.860322418E0,1.059125471E1
1.581744917E0,1.737886047E0,9.202263794E0,-4.520898743E0,1.039905920E1
1.591675917E0,2.336790619E0,8.458909607E0,-4.814588013E0,1.000969529E1
1.601606917E0,2.741698608E0,8.032147064E0,-4.364773407E0,9.543769937E0
1.611536917E0,2.634371796E0,8.583151245E0,-3.942501526E0,9.805800239E0
1.621467917E0,2.579286346E0,9.070388031E0,-3.186872864E0,9.953934686E0
1.631398917E0,2.936144257E0,9.227561188E0,-2.254761200E0,9.942473366E0
1.641329917E0,2.912493439E0,9.668544159E0,-1.533411255E0,1.021345751E1
1.651259917E0,3.032992859E0,9.967921600E0,-1.488804016E0,1.052497240E1
1.661190917E0,3.175795898E0,1.000773880E1,-1.547931061E0,1.061303943E1
1.671121917E0,3.722908173E0,1.026490402E1,-2.149979095E0,1.112882339E1
1.681052917E0,4.326004028E0,9.864486694E0,-3.209775238E0,1.123944241E1
1.690982917E0,4.163891144E0,9.296867065E0,-3.198398895E0,1.067705400E1
1.700913917E0,3.618575134E0,9.009913788E0,-2.527194672E0,1.003291311E1
1.710844917E0,2.926564178E0,8.615633698E0,-2.271676025E0,9.378402522E0
1.720775917E0,2.212399292E0,8.225395203E0,-2.843187561E0,8.979730084E0
1.730705917E0,1.432670746E0,8.188422089E0,-3.414250031E0,8.986651492E0
1.740636917E0,5.054988098E-1,8.112230530E0,-3.395988007E0,8.808890268E0
1.750567917E0,-2.811154175E-1,7.525001678E0,-2.871628418E0,8.059213728E0
1.760498917E0,-1.334924011E0,7.122189331E0,-2.426903229E0,7.641823229E0
1.770428917E0,-2.367027740E0,6.882537689E0,-1.525777130E0,7.436406472E0
1.780359917E0,-3.142714691E0,6.603667603E0,-4.969665527E-1,7.330215358E0
1.790290917E0,-3.513643341E0,6.829847260E0,3.076103210E-1,7.686815155E0
1.800221917E0,-3.745211792E0,6.952442322E0,9.472302246E-1,7.953635062E0
1.810151917E0,-3.420237579E0,7.624394989E0,9.909393311E-1,8.414950077E0
1.820082917E0,-2.905158691E0,8.510701904E0,4.541555786E-1,9.004346240E0
1.830013917E0,-2.438279572E0,9.382339325E0,-5.284011841E-2,9.694136916E0
1.839944917E0,-2.064955902E0,9.716444550E0,-4.821473694E-1,9.945139700E0
1.849874917E0,-2.401605835E0,9.569150848E0,-3.439846802E-1,9.871913898E0
1.859805917E0,-2.919229431E0,9.731114044E0,8.482859802E-1,1.019490412E1
1.869736917E0,-3.712130585E0,9.088949432E0,1.903591461E0,1.000062877E1
1.879667917E0,-3.996988220E0,8.204588470E0,2.899620209E0,9.575958655E0
1.889597917E0,-3.925736389E0,7.930957489E0,4.252506866E0,9.818111200E0
1.899528917E0,-3.485651550E0,8.283025360E0,5.624403992E0,1.060151858E1
1.909459917E0,-2.356250153E0,9.150621185E0,6.804699554E0,1.164429985E1
1.919390917E0,-7.458988953E-1,1.025397675E1,7.303162994E0,1.261097118E1
1.929320917E0,8.062234497E-1,1.117710709E1,6.574328613E0,1.299228678E1
1.939251917E0,2.185006256E0,1.159174484E1,5.064717865E0,1.283721807E1
1.949182917E0,3.169209595E0,1.109193420E1,3.840114441E0,1.215818131E1
1.959113917E0,3.362158356E0,9.624086609E0,3.263812866E0,1.070418733E1
1.969043917E0,2.951861572E0,8.042176208E0,2.864892426E0,9.033144166E0
1.978974917E0,2.029779053E0,6.859335938E0,2.777025146E0,7.673484291E0
1.988905917E0,9.831555176E-1,6.184988251E0,2.878514099E0,6.892497215E0
1.998835917E0,4.460723877E-2,6.833439789E0,2.884202271E0,7.417311635E0
2.008766917E0,-5.207670593E-1,9.660311279E0,2.614313507E0,1.002134958E1
2.018697917E0,-2.993774414E-1,1.422222473E1,1.017284546E0,1.426170295E1
2.028629500E0,2.269281006E-1,1.942600342E1,-1.102457428E0,1.945858467E1
2.038560500E0,-6.206094360E-1,2.365081787E1,-4.208049316E0,2.403027301E1
2.048490500E0,-4.014651489E0,2.518452850E1,-6.778504028E0,2.638799006E1
2.058421500E0,-8.806935883E0,2.347852615E1,-6.114634552E0,2.581069673E1
2.068352500E0,-9.314380646E0,1.577285019E1,-2.367476807E0,1.847012280E1
2.078282500E0,-5.327122192E0,6.596632233E0,3.472778320E-1,8.486129245E0
2.088213500E0,-2.950364685E0,1.122216339E0,-1.057700500E0,3.329076694E0
2.098144500E0,-1.820514221E0,-1.600471802E0,-1.859283600E0,3.054949676E0
2.108075500E0,-1.482816467E0,-2.240840149E0,-1.812880096E0,3.241395300E0
2.118005500E0,-3.749702454E-1,-1.032403107E0,-2.161056061E0,2.424174531E0
2.127936500E0,1.873054962E0,2.344873810E0,-2.410437469E0,3.849282643E0
2.137867500E0,3.894750824E0,6.064788208E0,-2.746189270E0,7.713124885E0
2.147798500E0,5.309458923E0,9.017847290E0,-3.286565552E0,1.096874819E1
2.157728500E0,5.990243225E0,1.155492142E1,-4.250411224E0,1.369179384E1
2.167659500E0,5.762416992E0,1.334445007E1,-5.755381622E0,1.563343260E1
2.177590500E0,5.027445374E0,1.387764130E1,-7.741451569E0,1.666715955E1
2.187521500E0,3.514691162E0,1.313997528E1,-8.169710999E0,1.586682647E1
2.197451500E0,9.401948547E-1,1.250828888E1,-6.199807434E0,1.399210025E1
2.207382500E0,-2.432741089E0,1.133802246E1,-2.338287506E0,1.182947890E1
2.217313500E0,-4.273762665E0,9.709259491E0,2.634222107E0,1.093041140E1
2.227244500E0,-4.745132446E0,9.230105896E0,5.017416229E0,1.152760176E1
2.237174500E0,-3.475023651E0,8.996591492E0,3.744163971E0,1.034568566E1
2.247105500E0,-2.655028839E0,8.928782501E0,1.332828369E0,9.410035417E0
2.257036500E0,-2.041604462E0,8.754395142E0,-7.969427490E-1,9.024560976E0
2.266967500E0,-9.909393311E-1,8.771160278E0,-2.308499451E0,9.123835986E0
2.276897500E0,7.858657837E-2,8.848848724E0,-3.218307495E0,9.416252053E0
2.286828500E0,9.505233765E-1,8.691226501E0,-3.578757935E0,9.447138252E0
2.296759500E0,1.424886932E0,8.583300934E0,-3.999832306E0,9.576116967E0
2.306690500E0,1.454974365E0,8.490493927E0,-4.416116638E0,9.680264650E0
2.316620500E0,1.404379578E0,8.479416962E0,-4.343367920E0,9.630038364E0
2.326551500E0,1.500180359E0,8.586893463E0,-3.746259613E0,9.487873394E0
2.336482500E0,1.550475769E0,8.743168488E0,-2.719095612E0,9.286573709E0
2.346413500E0,1.299298096E0,8.847651215E0,-1.807940369E0,9.123472800E0
2.356343500E0,5.700146484E-1,9.003028107E0,-1.229393463E0,9.104440679E0
2.366274500E0,-1.290316772E-1,9.249266052E0,-1.188678131E0,9.326227929E0
2.376205500E0,-1.049617310E0,9.359436951E0,-1.447938995E0,9.528760878E0
2.386136500E0,-1.531315613E0,9.284293213E0,-1.894011383E0,9.598453370E0
2.396066500E0,-1.243164825E0,9.553732910E0,-2.361638947E0,9.919506531E0
2.405997500E0,-6.741979980E-1,9.844877472E0,-2.752027130E0,1.024450139E1
2.415928500E0,2.076182556E-1,1.031969009E1,-2.322719879E0,1.057989303E1
2.425859500E0,9.235794067E-1,1.062176193E1,-1.618883514E0,1.078404420E1
2.435789500E0,1.393003235E0,1.065125061E1,-1.634002075E0,1.086552163E1
2.445720500E0,1.607507172E0,1.049392776E1,-2.123484192E0,1.082662387E1
2.455651500E0,1.269210663E0,1.026086243E1,-2.268083496E0,1.058491361E1
2.465582500E0,8.523275757E-1,1.009530670E1,-1.936972046E0,1.031472445E1
2.475512500E0,6.026467896E-1,1.057835220E1,-1.691033478E0,1.072959984E1
2.485443500E0,1.164578247E-1,1.055889267E1,-1.647474060E0,1.068727971E1
2.495374500E0,4.168830872E-1,1.082683548E1,-1.421144714E0,1.092766262E1
2.505305500E0,9.138496399E-1,1.098999619E1,-1.261426849E0,1.109983491E1
2.515235500E0,1.395098877E0,1.068343369E1,-1.622176666E0,1.089557311E1
2.525166500E0,1.859882355E0,1.079150894E1,-1.884131927E0,1.111151568E1
2.535097500E0,2.212249603E0,1.134490814E1,-1.717229004E0,1.168545525E1
2.545028500E0,2.087109833E0,1.163844772E1,-2.089804230E0,1.200736335E1
2.554958500E0,1.478625183E0,1.138532410E1,-2.926264801E0,1.184799405E1
2.564889500E0,5.391787720E-1,1.132050888E1,-3.104244690E0,1.175078594E1
2.574820500E0,-5.248086548E-1,1.149070496E1,-3.000809784E0,1.188766520E1
2.584750500E0,-9.586065674E-1,1.155626862E1,-2.653981018E0,1.189579279E1
2.594681500E0,-8.765771484E-1,1.200518509E1,-2.265838165E0,1.224854600E1
2.604612500E0,-7.952961731E-1,1.279703842E1,-2.106868744E0,1.299367478E1
2.614543500E0,-8.210426331E-1,1.330133972E1,-2.083367615E0,1.348851993E1
2.624473500E0,-4.986131287E-1,1.288864792E1,-2.314487000E0,1.310430121E1
2.634404500E0,4.602928162E-1,1.212688202E1,-2.837798767E0,1.246299478E1
2.644335500E0,1.118923187E0,1.176238998E1,-3.067421265E0,1.220716513E1
2.654266500E0,1.215173035E0,1.154534134E1,-2.828817444E0,1.194879744E1
2.664196500E0,1.058448944E0,1.134999756E1,-2.237546997E0,1.161677129E1
2.674127500E0,5.568420410E-1,1.099224152E1,-1.701661377E0,1.113710456E1
2.684058500E0,-2.833607483E-1,1.062715073E1,-1.537602539E0,1.074154772E1
2.693989500E0,-1.078806610E0,1.019529877E1,-1.158441010E0,1.031745735E1
2.703919500E0,-1.582060089E0,9.648785248E0,-9.177415466E-1,9.820601836E0
2.713850500E0,-2.173480225E0,9.623637543E0,-1.427731018E0,9.968792891E0
2.723781500E0,-2.468666382E0,9.591005402E0,-1.915716248E0,1.008720313E1
2.733712500E0,-2.499502258E0,9.702822876E0,-2.210752716E0,1.026059018E1
2.743642500E0,-2.416425018E0,1.018990997E1,-2.164648590E0,1.069388043E1
2.753573500E0,-2.364632721E0,1.038959473E1,-1.970652008E0,1.083598799E1
2.763504500E0,-2.397115173E0,1.036205200E1,-1.718127136E0,1.077359010E1
2.773435500E0,-2.390977936E0,1.034663406E1,-2.098486176E0,1.082465963E1
2.783365500E0,-2.268981628E0,1.045725403E1,-2.900069275E0,1.108660639E1
2.793296500E0,-1.906734924E0,1.091290649E1,-3.505260773E0,1.161955332E1
2.803227500E0,-1.544937286E0,1.155611893E1,-3.620072021E0,1.220801529E1
2.813158500E0,-1.230141907E0,1.199785034E1,-3.046464844E0,1.243955827E1
2.823088500E0,-1.243763580E0,1.254780670E1,-2.343975677E0,1.282531180E1
2.833019500E0,-7.195536804E-1,1.236653366E1,-2.431842957E0,1.262389688E1
2.842950500E0,-2.680924988E-1,1.194486053E1,-2.678679657E0,1.224446371E1
2.852881500E0,2.264790344E-1,1.129551086E1,-2.692151642E0,1.161410948E1
2.862811500E0,8.451425171E-1,1.052730835E1,-2.589465179E0,1.087399728E1
2.872742500E0,1.143172760E0,9.569300537E0,-2.063459015E0,9.855770890E0
2.882673500E0,9.738748169E-1,8.514144745E0,-1.326092377E0,8.671655775E0
2.892604500E0,-2.597099304E-1,7.937244415E0,-4.101470947E-1,7.952076383E0
2.902534500E0,-1.008003845E0,7.632029114E0,1.121168518E-1,7.699123998E0
2.912465500E0,-8.023315430E-2,6.938072205E0,-3.059637451E-1,6.945278762E0
2.922396500E0,1.136586456E0,6.380781097E0,1.989363098E-1,6.484271111E0
2.932327500E0,6.929090881E-1,6.063890076E0,3.616479492E-1,6.114055536E0
2.942257500E0,-3.323089600E-2,6.157295837E0,6.559359741E-1,6.192224828E0
2.952188500E0,-3.978726196E-1,5.559738464E0,6.388714600E-1,5.610450174E0
2.962119500E0,-9.687854004E-1,4.810546417E0,7.550299072E-1,4.964873830E0
2.972050500E0,-1.451531525E0,4.400099945E0,9.466314697E-1,4.729052171E0
